N	2gram	Medvedev_F_1	Komedia
1	и в	24	26
2	и не	20	14
3	к тому	3	12
4	так и	18	12
5	и его	10	12
6	в том	6	11
7	может быть	14	11
8	но и	7	10
9	в этом	15	10
10	что в	4	9
11	если бы	4	9
12	вместе с	2	9
13	ясно что	3	8
14	было бы	6	8
15	и на	8	7
16	не только	7	7
17	что и	2	7
18	в своем	11	6
19	то что	8	6
20	еще не	6	6
21	в нем	14	6
22	и здесь	6	6
23	в то	9	6
24	таким образом	13	6
25	с его	4	5
26	с тем	2	5
27	независимо от	4	5
28	в которой	4	5
29	что он	3	5
30	один из	3	5
31	ни в	2	5
32	в истории	4	5
33	с этим	2	5
34	и с	8	5
35	место в	7	4
36	не менее	11	4
37	в частности	4	4
38	в них	3	4
39	и от	7	4
40	прежде всего	22	4
41	как мы	5	4
42	же в	3	4
43	как и	11	4
44	в целом	6	4
45	одной из	2	4
46	в его	23	4
47	еще в	2	4
48	мира в	2	4
49	все же	3	4
50	не по	3	4
51	в самом	5	4
52	точки зрения	16	4
53	только в	2	4
54	как это	6	4
55	его в	3	4
56	между тем	2	4
57	с этой	4	3
58	в каждом	3	3
59	вопрос о	2	3
60	жизни и	7	3
61	отношению к	4	3
62	но все	2	3
63	связи с	3	3
64	но не	3	3
65	во всех	5	3
66	же время	8	3
67	здесь в	2	3
68	в ней	10	3
69	и особенно	2	3
70	в своей	11	3
71	и их	10	3
72	в их	11	3
73	все это	9	3
74	по отношению	4	3
75	в связи	4	3
76	то же	10	3
77	не было	3	3
78	как в	8	3
79	в самой	2	3
80	друг друга	4	3
81	а в	6	3
82	и типов	2	3
83	ко времени	2	3
84	или иначе	2	3
85	не может	16	3
86	в этой	6	3
87	могла бы	2	3
88	тех же	2	3
89	но в	5	3
90	все время	2	2
91	ни было	2	2
92	одновременно с	2	2
93	в другой	2	2
94	отнюдь не	6	2
95	в нашем	2	2
96	то ни	3	2
97	в лице	2	2
98	с другой	5	2
99	не для	3	2
100	это не	2	2
101	в одном	2	2
102	вовсе не	10	2
103	нет и	2	2
104	и к	4	2
105	в ее	8	2
106	идет о	2	2
107	не в	8	2
108	до сих	6	2
109	одна из	2	2
110	бы то	3	2
111	одной стороны	4	2
112	в действительности	2	2
113	и если	2	2
114	или на	2	2
115	каждой из	3	2
116	наконец в	3	2
117	от того	2	2
118	он не	3	2
119	как бы	6	2
120	всяком случае	4	2
121	хотя бы	5	2
122	и т	12	2
123	и это	2	2
124	в мире	4	2
125	отношение к	3	2
126	сих пор	6	2
127	всего в	3	2
128	со стороны	5	2
129	целый ряд	3	2
130	т п	4	2
131	с одной	4	2
132	и что	2	2
133	от всех	3	2
134	для этой	2	2
135	мы не	3	2
136	во всяком	4	2
137	от этого	2	2
138	и ее	10	2
139	и все	6	2
140	бы в	3	2
