N	2gram	Vygotskiy__3	DiskursI
1	в качестве	2	34
2	не только	12	28
3	в том	25	23
4	а не	7	22
5	то есть	15	20
6	том что	14	19
7	может быть	19	17
8	представляет собой	2	17
9	и в	38	16
10	как и	8	16
11	в этом	13	15
12	но и	5	14
13	при этом	4	13
14	и не	10	11
15	с другой	7	10
16	как в	4	10
17	далеко не	3	10
18	состоит в	3	9
19	в нем	4	9
20	одной стороны	5	9
21	не может	7	9
22	с одной	6	9
23	отнюдь не	2	8
24	о том	6	8
25	но в	3	8
26	в основе	3	7
27	в его	5	7
28	со стороны	2	7
29	то же	10	7
30	в себе	4	7
31	только в	4	7
32	не в	12	7
33	в своем	5	6
34	и как	8	6
35	к тому	6	5
36	в силу	2	5
37	как бы	14	5
38	в котором	6	5
39	в своей	5	5
40	то что	35	5
41	во всех	4	5
42	а с	2	5
43	а в	7	5
44	и на	6	5
45	в данном	2	5
46	что в	20	4
47	в них	3	4
48	и к	3	4
49	что он	11	4
50	уже не	2	4
51	для него	2	4
52	в истории	2	4
53	в целом	4	4
54	и о	3	4
55	внимание на	2	4
56	что не	3	4
57	в которых	6	4
58	потому что	14	4
59	между тем	7	4
60	перед нами	8	3
61	того же	3	3
62	столь же	2	3
63	в одной	2	3
64	что и	4	3
65	в ее	7	3
66	свою очередь	2	3
67	по своему	4	3
68	в свою	4	3
69	с этим	8	3
70	в самом	25	3
71	имеет место	2	3
72	к ним	3	3
73	один из	6	3
74	хотя бы	2	3
75	все же	8	3
76	из них	6	3
77	таким образом	12	3
78	заключается в	7	3
79	того что	4	3
80	другой стороны	5	3
81	и даже	4	3
82	в своих	4	3
83	сказать что	4	3
84	тем что	3	3
85	точки зрения	16	3
86	в то	3	3
87	из двух	3	2
88	но они	2	2
89	однако и	2	2
90	одновременно и	3	2
91	никогда не	4	2
92	о котором	5	2
93	между собой	2	2
94	и одновременно	2	2
95	в какой	5	2
96	нельзя не	2	2
97	к себе	2	2
98	и во	2	2
99	и все	10	2
100	в одном	8	2
101	одного из	2	2
102	к этому	3	2
103	не более	2	2
104	в тех	4	2
105	к его	2	2
106	по выражению	2	2
107	есть в	2	2
108	на этом	5	2
109	указывает на	6	2
110	так например	2	2
111	что с	4	2
112	в сущности	10	2
113	действующее лицо	2	2
114	иначе говоря	5	2
115	совпадает с	2	2
116	например в	2	2
117	и тем	3	2
118	с ее	2	2
119	наше время	2	2
120	когда он	4	2
121	жанра и	2	2
122	дело не	2	2
123	что же	2	2
124	данном случае	2	2
125	целый ряд	2	2
126	в наше	2	2
127	как к	2	2
128	отношения к	2	2
129	как мы	7	2
130	и что	18	2
131	и по	2	2
132	и его	6	2
133	или в	5	2
134	здесь в	2	2
135	во всяком	2	2
136	и ее	2	2
137	но как	2	2
138	в другом	5	2
139	что даже	2	2
140	могла бы	3	2
141	же самое	10	2
142	в этой	13	2
143	так сказать	5	2
144	они не	2	2
145	заметить что	2	2
146	едва ли	3	2
147	для художественного	2	2
148	в виду	4	2
