N	2gram	Losev_Prob_5	Istorich
1	и в	30	26
2	так же	5	18
3	то что	18	16
4	не только	18	15
5	что в	5	14
6	может быть	7	14
7	но и	13	12
8	что он	7	10
9	так и	7	10
10	таким образом	13	10
11	и его	6	10
12	при помощи	6	10
13	что и	6	9
14	все же	9	9
15	и не	12	9
16	его в	6	9
17	так как	6	9
18	то же	2	8
19	а в	6	8
20	об этом	4	7
21	как и	7	7
22	в качестве	4	7
23	он не	3	7
24	на небо	8	7
25	как в	2	7
26	в этом	17	7
27	что здесь	2	7
28	мы имеем	2	7
29	не всегда	3	6
30	в дальнейшем	7	6
31	что они	3	6
32	еще не	3	6
33	когда он	2	6
34	вместе с	7	6
35	не может	5	6
36	а не	5	6
37	к нему	3	6
38	и то	5	6
39	потому что	13	6
40	мы можем	5	6
41	у него	11	5
42	и как	6	5
43	это не	2	5
44	точно так	3	5
45	в одном	3	5
46	к этому	2	5
47	но все	4	5
48	в силу	5	5
49	но не	7	5
50	и только	2	5
51	ничего не	2	5
52	в его	12	5
53	и у	5	5
54	до сих	2	5
55	сих пор	2	5
56	как мы	2	5
57	и что	6	5
58	уже не	6	5
59	не в	7	5
60	и с	5	5
61	тем что	2	5
62	в другом	3	5
63	но в	9	5
64	с другой	6	4
65	вовсе не	8	4
66	огонь и	4	4
67	все что	2	4
68	указывает на	3	4
69	этот мотив	4	4
70	в своей	22	4
71	он в	3	4
72	другой стороны	6	4
73	дает ему	2	4
74	здесь не	7	4
75	того как	5	4
76	не просто	5	4
77	его на	2	4
78	и даже	14	4
79	что этот	5	4
80	но он	5	4
81	о том	12	4
82	и более	2	3
83	что у	5	3
84	в одной	2	3
85	все еще	4	3
86	же в	3	3
87	для нас	10	3
88	в том	12	3
89	по существу	2	3
90	том что	17	3
91	при этом	4	3
92	не что	3	3
93	и другие	3	3
94	на его	2	3
95	как бы	6	3
96	все эти	2	3
97	а также	3	3
98	и он	4	3
99	на то	2	3
100	наряду с	2	3
101	на него	2	3
102	данном случае	2	3
103	а именно	12	3
104	только тогда	3	3
105	или же	2	3
106	на земле	9	3
107	всякого рода	2	3
108	не мог	4	3
109	есть только	3	3
110	или в	4	3
111	в данном	2	3
112	что иное	3	3
113	связи с	7	3
114	только в	9	3
115	в русской	3	3
116	иное как	3	3
117	мы читаем	6	2
118	уже в	2	2
119	не могут	2	2
120	с тем	5	2
121	не менее	5	2
122	это уже	2	2
123	никогда не	7	2
124	однако в	3	2
125	в своем	11	2
126	и все	9	2
127	за это	5	2
128	по себе	2	2
129	и тем	3	2
130	с помощью	2	2
131	тем не	5	2
132	ни в	4	2
133	говорит о	7	2
134	так что	11	2
135	такого же	3	2
136	есть в	2	2
137	от них	2	2
138	после того	3	2
139	было бы	4	2
140	такого рода	2	2
141	конечно не	2	2
142	у нас	7	2
143	в частности	4	2
144	он говорит	2	2
145	но для	2	2
146	хотя и	8	2
147	в роли	2	2
148	в брак	2	2
149	по своей	2	2
150	хотя бы	2	2
151	в нем	6	2
152	не к	2	2
153	отношение к	2	2
154	из них	2	2
155	и их	5	2
156	в связи	7	2
157	в других	3	2
158	и за	2	2
159	и они	2	2
160	того что	3	2
161	земли и	2	2
162	по его	2	2
163	в таких	2	2
164	тут же	6	2
165	и на	6	2
166	с этой	2	2
167	сказать что	9	2
168	в виде	10	2
169	даже и	4	2
170	в себе	4	2
171	такую же	2	2
172	можно найти	6	2
173	в этой	10	2
174	в области	2	2
