N	3gram	Medvedev_V_1	Problema
1	о том что	3	14
2	в конце концов	2	7
3	и т д	14	6
4	по крайней мере	2	6
5	с одной стороны	2	5
6	с другой стороны	8	5
7	в связи с	3	5
8	более или менее	6	4
9	только в том	2	4
10	в то же	5	4
11	в том что	5	4
12	одной стороны и	2	3
13	в значительной мере	3	3
14	бы не было	2	3
15	можно сказать что	4	3
16	хотя бы и	5	3
17	только то что	2	3
18	не может быть	8	3
19	в этой области	3	3
20	в том числе	2	2
21	том числе и	2	2
22	для того чтобы	3	2
23	это и есть	3	2
24	по этому поводу	7	2
25	не только в	2	2
26	можно было бы	2	2
27	в частности в	2	2
28	точном смысле слова	2	2
29	не только не	2	2
30	подобно тому как	2	2
