N	2gram	Losev_Vesc_1	Problemy
1	и не	29	31
2	и в	21	29
3	в его	2	24
4	может быть	16	24
5	а не	19	22
6	в этом	4	22
7	т е	55	21
8	как бы	12	19
9	в нем	2	19
10	точки зрения	5	19
11	для него	4	18
12	не только	36	15
13	то что	27	15
14	но и	18	14
15	и его	2	14
16	то же	6	14
17	уже не	9	13
18	с точки	3	13
19	как и	8	12
20	не может	17	12
21	таким образом	8	12
22	в одном	2	10
23	в самом	9	10
24	в то	3	10
25	только в	14	10
26	это не	5	9
27	все же	4	9
28	но не	5	9
29	все эти	3	9
30	если бы	5	9
31	в своем	6	8
32	по себе	13	8
33	что в	9	8
34	в своей	5	8
35	потому что	16	8
36	в том	8	8
37	прежде всего	9	7
38	вовсе не	10	7
39	том что	8	7
40	не в	5	7
41	она не	4	7
42	так и	3	7
43	и как	8	7
44	а в	4	7
45	с другими	8	7
46	в себе	14	7
47	но в	5	7
48	все это	5	6
49	в конце	2	6
50	выражение в	3	6
51	что она	15	6
52	как раз	9	6
53	в самой	2	6
54	самом деле	4	6
55	его в	2	6
56	и потому	5	6
57	так как	7	6
58	перед нами	2	5
59	должна быть	4	5
60	было бы	14	5
61	еще не	8	5
62	это и	6	5
63	в сущности	4	5
64	и о	3	5
65	у него	2	5
66	мысли и	3	5
67	той же	2	5
68	конце концов	2	5
69	во всяком	3	5
70	и это	14	5
71	с ним	8	5
72	ничего не	3	5
73	или как	2	5
74	в результате	3	4
75	перестает быть	3	4
76	бы и	5	4
77	что и	3	4
78	так чтобы	2	4
79	но это	10	4
80	и с	8	4
81	и следовательно	7	4
82	не значит	7	4
83	от того	3	4
84	в свете	7	4
85	и т	19	4
86	и для	9	4
87	тем что	2	4
88	как же	3	4
89	как мы	4	4
90	должно быть	6	4
91	их в	3	4
92	в основе	3	4
93	в этой	3	4
94	что же	8	4
95	я не	4	3
96	была бы	2	3
97	никогда не	2	3
98	сами по	3	3
99	с другой	6	3
100	есть то	9	3
101	по существу	2	3
102	одна из	5	3
103	кроме того	4	3
104	и пр	6	3
105	но именно	2	3
106	и понимания	2	3
107	всяком случае	2	3
108	оно не	3	3
109	только то	2	3
110	другой стороны	2	3
111	тому что	2	3
112	в себя	13	3
113	и у	3	3
114	отличается от	7	3
115	не из	2	3
116	тому как	4	3
117	и здесь	4	3
118	ее как	2	3
119	сказать что	17	3
120	но с	2	3
121	подобно тому	4	3
122	как к	4	3
123	мы должны	2	3
124	и самое	2	3
125	бы в	5	3
126	от ее	6	2
127	себя и	4	2
128	его и	2	2
129	в настоящем	2	2
130	то ни	4	2
131	хотя бы	6	2
132	она является	3	2
133	с этой	4	2
134	и во	3	2
135	и от	3	2
136	в жизни	3	2
137	и ее	18	2
138	не есть	49	2
139	жизни и	2	2
140	так что	5	2
141	е не	2	2
142	мы видим	2	2
143	из его	2	2
144	не потому	6	2
145	бы то	4	2
146	есть и	4	2
147	тот же	3	2
148	со своим	7	2
149	никак не	3	2
150	что из	2	2
151	в котором	3	2
152	однако не	2	2
153	один из	3	2
154	как можно	3	2
155	нисколько не	4	2
156	в первой	2	2
157	данном случае	2	2
158	мы уже	3	2
159	себя самого	2	2
160	ни было	4	2
161	находится в	3	2
162	в отношении	4	2
163	то и	4	2
164	и даже	6	2
165	что оно	8	2
166	зрения и	2	2
167	слово в	2	2
168	в той	3	2
169	в смысле	12	2
170	мы ее	5	2
171	и что	15	2
172	к себе	4	2
173	образ действительности	3	2
174	между ними	3	2
175	с собою	6	2
176	можно было	2	2
177	в данном	5	2
178	себя как	2	2
179	в ней	12	2
180	но он	2	2
181	самим собою	2	2
182	для себя	5	2
183	и есть	26	2
184	образ в	2	2
185	в россии	2	2
186	оно может	2	2
187	е в	7	2
188	с этим	3	2
189	по преимуществу	2	2
