N	3gram	Potebnia_M_3	VeschiIm
1	и т д	3	20
2	не может быть	3	18
3	по крайней мере	5	6
4	может быть только	3	6
5	в том что	16	6
6	не есть ни	4	6
7	в свою очередь	3	5
8	одно и то	5	5
9	тем не менее	3	5
10	и то же	5	5
11	то же время	5	4
12	не только в	4	4
13	в то же	5	4
14	от того что	5	4
15	в собственном смысле	2	3
16	более или менее	3	3
17	само по себе	3	3
18	сама по себе	2	3
19	сам по себе	5	3
20	подобно тому как	2	3
21	вместе с тем	4	3
22	то или другое	2	2
23	к тому что	2	2
24	в первом случае	2	2
25	как бы ни	2	2
26	можно сказать что	2	2
27	что в ней	2	2
28	что только в	2	2
29	не есть еще	2	2
