N	3gram	Losev_Vesc_1	Dialekti
1	и т д	19	15
2	по крайней мере	4	9
3	с точки зрения	3	8
4	это значит что	19	8
5	сама по себе	3	7
6	не потому что	4	6
7	не есть ни	3	6
8	в том что	4	6
9	и не только	4	5
10	о том что	4	4
11	только то что	2	4
12	одно и то	4	4
13	не есть ли	2	4
14	и то же	4	4
15	с другой стороны	2	4
16	только тогда когда	2	4
17	в самом деле	4	3
18	сам по себе	3	3
19	не есть только	2	3
20	той или другой	2	3
21	что иное как	7	3
22	сами по себе	3	3
23	можно сказать что	3	3
24	не что иное	7	3
25	содержит в себе	4	3
26	не может быть	6	3
27	т е в	7	3
28	вовсе не есть	6	2
29	в данном случае	2	2
30	т д и	5	2
31	не только в	4	2
32	как бы ни	2	2
33	тех или других	4	2
34	тем не менее	3	2
35	есть не просто	2	2
36	внутреннего и внешнего	2	2
37	может быть только	3	2
38	есть не что	5	2
39	во всяком случае	2	2
40	потому что они	3	2
41	д и т	5	2
42	в той или	2	2
43	так или иначе	4	2
