N	2gram	Berdyaev_M_1	Myshleni
1	то что	5	26
2	что он	10	25
3	в этом	20	25
4	потому что	16	21
5	в том	6	18
6	не может	28	18
7	точки зрения	4	18
8	того чтобы	2	17
9	что в	10	16
10	и в	28	16
11	того что	7	16
12	так как	3	16
13	не только	29	16
14	том что	3	15
15	для того	2	14
16	сказать что	2	13
17	отношению к	2	12
18	вопрос о	2	12
19	по отношению	2	12
20	и не	11	12
21	и что	2	12
22	отношение к	4	11
23	в его	9	11
24	но не	8	10
25	было бы	10	10
26	а не	25	10
27	только в	6	10
28	может быть	30	9
29	должно быть	3	8
30	о том	2	8
31	в основе	2	8
32	если бы	2	8
33	как и	5	8
34	он не	24	8
35	и есть	14	7
36	в нем	13	7
37	но он	9	7
38	приводит к	2	7
39	не в	16	6
40	в этой	6	6
41	но если	3	6
42	но и	25	6
43	и на	6	6
44	как он	2	6
45	но в	7	6
46	у него	17	6
47	к тому	3	6
48	в той	2	6
49	должна быть	6	5
50	никогда не	14	5
51	в своем	10	5
52	для него	11	5
53	как бы	2	5
54	хотя бы	3	5
55	не знает	4	5
56	в то	2	5
57	с ним	2	5
58	он должен	3	5
59	по сравнению	2	5
60	как в	2	5
61	мысли и	2	5
62	это значит	3	5
63	тем что	4	5
64	в которой	6	5
65	ничего не	3	5
66	значит что	4	5
67	не могут	5	4
68	все эти	2	4
69	это не	5	4
70	с этой	4	4
71	то время	2	4
72	это есть	3	4
73	в свою	2	4
74	в самом	11	4
75	на этот	2	4
76	и их	3	4
77	в свете	3	4
78	тому чтобы	2	4
79	не имеет	3	4
80	и по	4	4
81	время как	2	4
82	бы в	2	4
83	мы видим	2	4
84	вообще не	2	4
85	с их	2	4
86	за пределы	4	4
87	не есть	9	4
88	вместе с	6	4
89	могут быть	2	4
90	прежде всего	10	3
91	и как	2	3
92	до конца	14	3
93	к нему	7	3
94	в их	4	3
95	а в	4	3
96	и с	3	3
97	по своей	2	3
98	в этих	4	3
99	к этой	2	3
100	с тем	9	3
101	с этим	3	3
102	к этому	2	3
103	все же	2	3
104	это и	4	3
105	чем в	2	3
106	по своему	2	3
107	еще в	2	3
108	что и	4	3
109	сих пор	2	3
110	на этом	3	3
111	и его	9	3
112	он в	2	3
113	чем его	4	3
114	до сих	2	3
115	себя и	3	2
116	и от	2	2
117	отношения и	2	2
118	высшей степени	2	2
119	одним из	2	2
120	в ней	15	2
121	в виду	2	2
122	в котором	8	2
123	начинается в	3	2
124	только один	2	2
125	в своей	15	2
126	все это	6	2
127	отношения к	4	2
128	в момент	3	2
129	в истории	2	2
130	в более	2	2
131	в этот	2	2
132	о чем	2	2
133	в них	4	2
134	в жизни	3	2
135	если он	5	2
136	его в	3	2
137	есть не	4	2
138	и к	2	2
139	которых он	4	2
140	у нас	5	2
141	учение о	3	2
142	все что	2	2
143	этот путь	3	2
144	жизни и	2	2
145	когда он	3	2
146	никто не	2	2
147	и потому	10	2
148	в высшей	2	2
149	в центре	2	2
150	на протяжении	2	2
151	как будто	2	2
