N	2gram	Losev_Dial_2	Sovremen
1	не может	9	17
2	точки зрения	12	12
3	может быть	20	12
4	таким образом	4	11
5	в каждом	2	8
6	в этом	8	7
7	и в	19	7
8	и не	30	6
9	как и	10	6
10	в результате	2	6
11	ничего не	3	6
12	что же	2	5
13	прежде всего	8	5
14	все эти	2	5
15	с точки	8	5
16	как бы	14	4
17	если мы	2	4
18	жизни и	6	4
19	вместе с	2	4
20	в зависимости	2	4
21	это не	10	4
22	а в	4	4
23	вопрос о	3	4
24	не только	19	4
25	же это	4	4
26	в том	14	4
27	их в	2	4
28	из них	3	4
29	мы должны	2	4
30	зависимости от	2	4
31	так как	14	4
32	в системе	2	3
33	уже в	4	3
34	но мы	2	3
35	самого начала	2	3
36	все же	4	3
37	отнюдь не	6	3
38	он может	2	3
39	может не	4	3
40	все это	4	3
41	в конце	2	3
42	то же	12	3
43	ясно что	4	3
44	мы получаем	2	3
45	в нем	10	3
46	а не	16	3
47	и к	7	3
48	когда мы	3	3
49	с самого	2	3
50	не в	8	3
51	в этой	3	3
52	еще не	4	3
53	при этом	4	3
54	было бы	3	3
55	и мы	3	3
56	в одном	4	3
57	и все	12	3
58	как он	4	3
59	в себе	15	3
60	в области	2	3
61	что она	14	3
62	но в	2	3
63	и потому	5	3
64	ведь это	3	3
65	совершенно не	7	2
66	же мы	3	2
67	может иметь	3	2
68	не могут	4	2
69	что это	10	2
70	не менее	3	2
71	и есть	4	2
72	в виде	2	2
73	в некоторых	2	2
74	быть и	4	2
75	представлять себе	2	2
76	тем же	2	2
77	с одной	2	2
78	как мы	3	2
79	уже не	3	2
80	самом деле	4	2
81	и что	5	2
82	и пр	5	2
83	что такое	3	2
84	и даже	14	2
85	вне времени	2	2
86	и по	4	2
87	тем не	2	2
88	и пространства	2	2
89	мы видим	2	2
90	в таком	4	2
91	но все	2	2
92	во всяком	2	2
93	на этом	2	2
94	времени и	9	2
95	могут быть	4	2
96	с этим	3	2
97	как известно	2	2
98	и они	2	2
99	что в	7	2
100	говорить о	5	2
101	же самое	2	2
102	в один	3	2
103	это за	3	2
104	на его	2	2
105	в самом	5	2
106	в которой	2	2
107	в науке	2	2
108	всяком случае	2	2
