N	3gram	Vygotskiy__4	Vvedenie
1	для того чтобы	5	20
2	о том что	3	12
3	в том что	31	12
4	в этом смысле	8	8
5	в самом деле	6	6
6	к выводу что	2	6
7	с другой стороны	8	5
8	в том чтобы	2	5
9	в данном случае	2	4
10	с одной стороны	9	4
11	можно было бы	5	4
12	по сравнению с	3	4
13	в этом случае	3	4
14	в этом отношении	7	4
15	во всяком случае	3	4
16	в том виде	2	3
17	в свое время	2	3
18	одной стороны и	2	3
19	с тем что	3	3
20	в собственном смысле	7	3
21	как мы видели	2	3
22	вместе с тем	3	3
23	заключается в том	14	3
24	смысле этого слова	7	2
25	и той же	4	2
26	с точки зрения	11	2
27	по своему значению	3	2
28	но вместе с	2	2
29	не могут быть	2	2
30	точно так же	3	2
31	в целом ряде	2	2
32	то же самое	7	2
33	в связи с	3	2
34	состоит в том	3	2
35	как мы уже	3	2
36	подобно тому как	2	2
37	одной и той	4	2
