N	2gram	Bakhtin_Pr_2	VelikijI
1	и не	29	20
2	и в	43	16
3	то что	7	9
4	так как	4	9
5	еще не	9	8
6	а не	7	7
7	человека и	2	6
8	не есть	2	6
9	хотя и	5	5
10	как бы	22	5
11	но и	14	5
12	все это	5	5
13	того что	2	5
14	на себя	2	5
15	в образе	2	4
16	что он	13	4
17	в нем	12	4
18	как и	14	4
19	в котором	6	4
20	так и	3	4
21	что не	2	4
22	в этом	13	4
23	и все	6	4
24	в его	10	4
25	с его	4	3
26	должна быть	3	3
27	что в	4	3
28	в этих	6	3
29	в них	4	3
30	превращается в	2	3
31	в конце	2	3
32	в жизни	3	3
33	ни в	2	3
34	в том	6	3
35	не в	11	3
36	но это	4	3
37	что я	6	3
38	тот же	3	3
39	к тому	4	3
40	во всех	4	3
41	никогда не	9	3
42	этих трех	3	3
43	то это	2	3
44	что и	3	3
45	в своей	4	3
46	бы и	2	3
47	и они	2	3
48	лишь в	8	3
49	и что	5	3
50	хотя бы	2	3
51	и для	3	3
52	должно быть	4	3
53	их в	4	3
54	все эти	5	3
55	но в	10	3
56	не могут	4	2
57	его и	2	2
58	это не	3	2
59	прежде всего	10	2
60	что было	2	2
61	его к	2	2
62	для нас	2	2
63	да и	5	2
64	том что	2	2
65	мы и	2	2
66	одна из	2	2
67	но не	5	2
68	в последнем	3	2
69	конечно не	2	2
70	для него	8	2
71	и сам	7	2
72	ивана карамазова	2	2
73	не только	11	2
74	и т	13	2
75	на том	2	2
76	ее в	2	2
77	в форме	2	2
78	с тобой	2	2
79	т д	4	2
80	а с	2	2
81	это все	3	2
82	тем что	3	2
83	в себя	3	2
84	мы не	4	2
85	уже не	3	2
86	а в	5	2
87	с ним	3	2
88	чтобы сделать	2	2
89	можно было	3	2
90	и то	2	2
91	между тем	3	2
92	могут быть	3	2
93	только в	4	2
94	и это	4	2
95	во всяком	2	2
96	а между	2	2
