N	2gram	Losev_Dial_2	Tragedij
1	и в	19	18
2	в этом	8	9
3	не только	19	8
4	и не	30	7
5	и с	5	7
6	может быть	20	7
7	как бы	14	7
8	что он	6	6
9	и его	5	6
10	же время	5	6
11	но в	2	6
12	все же	4	5
13	что это	10	5
14	так и	10	5
15	это не	10	5
16	не может	9	5
17	то же	12	5
18	а я	2	5
19	как и	10	5
20	в то	6	5
21	несмотря на	2	5
22	но и	12	4
23	то что	14	4
24	что в	7	4
25	он всегда	2	4
26	все это	4	4
27	я не	6	4
28	прежде всего	8	4
29	и все	12	4
30	в нем	10	4
31	и даже	14	4
32	так же	2	4
33	том что	10	4
34	но это	7	4
35	в этой	3	4
36	что я	2	4
37	и что	5	4
38	в себе	15	4
39	еще не	4	4
40	об этом	3	4
41	уже в	4	3
42	с ее	2	3
43	о чем	3	3
44	отнюдь не	6	3
45	в своем	4	3
46	в конце	2	3
47	как в	2	3
48	все эти	2	3
49	жизнь и	5	3
50	и как	10	3
51	к нему	4	3
52	должно быть	7	3
53	что с	2	3
54	при этом	4	3
55	как будто	7	3
56	в мире	2	3
57	как это	7	3
58	с ним	4	3
59	перед нами	2	2
60	от всего	2	2
61	не могут	4	2
62	что и	5	2
63	в душе	7	2
64	только к	2	2
65	как же	3	2
66	в частности	2	2
67	и личность	2	2
68	данном случае	2	2
69	и я	2	2
70	вопрос о	3	2
71	не просто	12	2
72	уже не	3	2
73	бы и	2	2
74	к тому	2	2
75	времени в	2	2
76	ни в	10	2
77	в ее	4	2
78	в том	14	2
79	но все	2	2
80	так что	7	2
81	в таком	4	2
82	не в	8	2
83	с первого	2	2
84	что этот	3	2
85	тут же	4	2
86	в данном	3	2
87	и то	7	2
88	потому что	14	2
89	с тем	2	2
90	тем что	2	2
91	личности и	6	2
92	в виде	2	2
93	только о	2	2
94	в это	3	2
95	о том	5	2
96	его в	3	2
97	что эти	2	2
98	и это	5	2
99	в самом	5	2
100	это уже	2	2
101	ничего не	3	2
102	он не	4	2
103	в одном	4	2
104	что она	14	2
105	никогда не	9	2
