N	2gram	Medvedev_V_1	Vladivir
1	и в	26	31
2	в году	6	30
3	не только	25	24
4	но и	10	19
5	то что	6	18
6	и не	19	17
7	у него	6	15
8	и даже	2	15
9	том что	8	14
10	что в	10	14
11	в этом	26	14
12	что он	4	12
13	по поводу	2	12
14	в его	14	12
15	но в	2	12
16	с его	3	11
17	в том	15	11
18	между прочим	2	11
19	о том	10	11
20	также и	2	10
21	он не	2	10
22	письме к	9	10
23	никогда не	4	9
24	а в	3	9
25	в течение	2	9
26	даже и	3	9
27	только в	7	9
28	в конце	3	9
29	н н	2	9
30	в письме	13	8
31	и по	3	8
32	в то	6	8
33	для него	8	7
34	об этом	9	7
35	как раз	3	7
36	и его	6	7
37	как это	12	7
38	сказать что	5	7
39	еще и	2	7
40	е в	2	7
41	а толстой	2	6
42	он и	2	6
43	к этому	9	6
44	и к	3	6
45	можно сказать	4	6
46	у нас	2	6
47	в качестве	11	6
48	и потому	2	6
49	может быть	22	6
50	в котором	3	6
51	так и	5	6
52	не может	17	6
53	то же	10	6
54	все это	10	5
55	вовсе не	3	5
56	не в	6	5
57	но как	3	5
58	со своим	2	5
59	и от	3	5
60	что и	3	5
61	жизни и	3	5
62	когда он	3	5
63	к н	3	5
64	не было	7	5
65	в своих	2	5
66	же время	5	4
67	в своем	8	4
68	что у	2	4
69	в нем	6	4
70	главным образом	7	4
71	в себе	6	4
72	что его	2	4
73	как и	7	4
74	и как	3	4
75	в этой	4	4
76	хотя и	2	4
77	один из	5	4
78	в своей	4	4
79	в особенности	2	4
80	к с	2	4
81	и у	2	4
82	что для	3	4
83	из его	3	4
84	как он	2	4
85	в которой	2	4
86	в общем	2	3
87	вот что	9	3
88	и через	2	3
89	к тому	4	3
90	отнюдь не	3	3
91	с другой	11	3
92	и просто	2	3
93	в жизни	2	3
94	но не	2	3
95	толстого в	3	3
96	что они	3	3
97	более или	6	3
98	конце концов	2	3
99	все же	5	3
100	в целом	4	3
101	вместе с	7	3
102	или менее	6	3
103	он пишет	7	3
104	другой стороны	8	3
105	в связи	3	3
106	таким образом	31	3
107	свидетельствуют о	2	3
108	все эти	6	3
109	в науке	2	3
110	и он	2	3
111	марта года	2	3
112	к его	2	3
113	во время	3	3
114	января года	3	3
115	это делает	3	2
116	он сам	2	2
117	с тем	3	2
118	не менее	2	2
119	для его	4	2
120	в частности	11	2
121	по этому	9	2
122	но даже	3	2
123	нет и	3	2
124	в них	4	2
125	хотя бы	19	2
126	по существу	3	2
127	не столько	2	2
128	что все	3	2
129	образом в	3	2
130	и весь	2	2
131	о его	2	2
132	мы знаем	3	2
133	это и	6	2
134	же о	2	2
135	это мы	3	2
136	еще не	2	2
137	того что	3	2
138	было бы	7	2
139	года и	2	2
140	в самом	4	2
141	том чтобы	2	2
142	одним из	5	2
143	на это	2	2
144	даже в	5	2
145	и т	23	2
146	этом и	2	2
147	из них	9	2
148	него в	3	2
149	не по	2	2
150	что она	2	2
151	даже не	2	2
152	только что	4	2
153	так например	2	2
154	т д	14	2
155	и для	2	2
156	начиная с	2	2
157	на основании	8	2
158	этой области	3	2
159	лишь в	2	2
160	он говорит	5	2
161	того чтобы	3	2
162	для того	3	2
163	что мы	2	2
164	что такое	2	2
165	по его	2	2
166	как на	3	2
167	с ними	4	2
168	в философии	4	2
169	в результате	5	2
170	пока еще	2	2
171	ума и	2	2
172	знаем что	2	2
173	точки зрения	3	2
174	из этих	7	2
175	из многочисленных	2	2
176	в чем	2	2
