N	3gram	Vygotskiy__2	Formalny
1	с точки зрения	18	14
2	не может быть	6	14
3	на самом деле	2	12
4	здесь и теперь	2	6
5	во всяком случае	6	6
6	в зависимости от	6	5
7	в данном случае	3	4
8	в самом деле	4	4
9	в связи с	6	4
10	подобно тому как	2	4
11	для того чтобы	10	4
12	то же самое	2	3
13	в этом отношении	3	3
14	в том что	21	3
15	по отношению к	5	3
16	потому что он	2	3
17	смысле этого слова	3	2
18	мы не можем	3	2
19	мы увидим что	2	2
20	с таким же	2	2
21	вовсе не в	2	2
22	мы видели что	3	2
23	в отличие от	3	2
24	в высшей степени	7	2
25	в этом смысле	2	2
