N	2gram	Tiupa_Hudo_2	RusskieA
1	и в	28	36
2	не только	11	22
3	что в	5	19
4	том что	19	19
5	в том	15	17
6	т е	2	17
7	но и	9	16
8	и другие	5	13
9	в этом	13	12
10	в других	4	11
11	это не	6	10
12	как мы	2	10
13	как и	11	10
14	и т	4	10
15	вместе с	2	10
16	и на	3	10
17	потому что	2	10
18	об этом	7	9
19	т д	2	9
20	а в	6	9
21	на могилах	2	8
22	состоит в	7	8
23	из них	2	8
24	может быть	8	8
25	один из	2	8
26	о том	12	8
27	как это	7	8
28	что они	4	7
29	что и	4	7
30	так и	8	7
31	между тем	8	7
32	и не	18	6
33	для нас	3	6
34	при этом	11	6
35	в них	3	6
36	уже не	10	6
37	все это	3	6
38	в виде	2	6
39	то что	6	6
40	будто бы	3	6
41	все же	2	5
42	как будто	4	5
43	как бы	5	5
44	и у	2	5
45	с ними	3	5
46	одно из	5	5
47	как в	5	5
48	того как	2	5
49	тому что	4	4
50	из этих	2	4
51	с собой	2	4
52	как уже	2	4
53	к тому	7	4
54	что на	3	4
55	в г	2	4
56	одна из	2	4
57	еще не	3	4
58	следующим образом	3	4
59	и а	2	4
60	не может	4	4
61	а с	3	4
62	тем что	6	4
63	только в	4	4
64	не менее	5	3
65	о чем	8	3
66	что это	5	3
67	в этих	3	3
68	в качестве	4	3
69	в своем	5	3
70	в одном	3	3
71	и к	2	3
72	тем не	4	3
73	на этом	2	3
74	в это	3	3
75	несмотря на	3	3
76	только на	5	3
77	а также	2	3
78	если в	2	3
79	не с	2	3
80	своего рода	16	3
81	приводит к	2	3
82	то же	6	3
83	она в	2	3
84	с точки	2	3
85	так же	3	3
86	ничего не	5	3
87	точки зрения	2	3
88	не было	6	2
89	они были	2	2
90	в частности	7	2
91	в нашем	2	2
92	но тем	2	2
93	его и	2	2
94	что у	3	2
95	только для	2	2
96	та же	2	2
97	в нем	3	2
98	у него	5	2
99	в жизни	8	2
100	но не	4	2
101	они и	2	2
102	она не	5	2
103	отнюдь не	2	2
104	в ней	3	2
105	в его	11	2
106	и с	6	2
107	что она	7	2
108	а п	4	2
109	тогда как	7	2
110	а не	14	2
111	и для	2	2
112	с ним	7	2
113	или в	3	2
114	не случайно	10	2
115	себя и	2	2
116	к ней	2	2
117	на себя	3	2
118	но в	2	2
119	как он	3	2
120	же не	2	2
