N	2gram	Losev_Prob_5	Russkaja
1	не может	5	22
2	и не	12	19
3	в том	12	17
4	в этом	17	17
5	и в	30	14
6	то что	18	13
7	таким образом	13	11
8	то же	2	11
9	точки зрения	10	11
10	но и	13	10
11	в то	4	10
12	том что	17	9
13	не только	18	9
14	в себе	4	9
15	с точки	8	9
16	может быть	7	9
17	во всяком	2	9
18	прежде всего	6	8
19	того чтобы	2	8
20	отнюдь не	4	7
21	к тому	2	7
22	не будет	2	7
23	самом деле	2	7
24	в данном	2	7
25	о том	12	7
26	и с	5	7
27	что он	7	6
28	и к	4	6
29	с тем	5	6
30	для того	3	6
31	всяком случае	2	6
32	в своем	11	6
33	и для	6	6
34	жизни в	4	5
35	хотя бы	2	5
36	на то	2	5
37	и на	6	5
38	при этом	4	5
39	до сих	2	5
40	было бы	4	5
41	конечно не	2	5
42	в своей	22	5
43	он не	3	5
44	никогда не	7	5
45	в нем	6	5
46	сих пор	2	5
47	и только	2	5
48	по существу	2	5
49	а в	6	5
50	потому что	13	5
51	только в	9	5
52	между тем	2	5
53	но не	7	4
54	не могут	2	4
55	что в	5	4
56	то ни	2	4
57	тогда когда	4	4
58	как и	7	4
59	все что	2	4
60	как бы	6	4
61	все же	9	4
62	бы то	2	4
63	жизни и	2	4
64	вместе с	7	4
65	на земле	9	4
66	не в	7	4
67	можно было	2	4
68	что такой	2	4
69	и то	5	4
70	в этой	10	4
71	в его	12	4
72	его в	6	4
73	так как	6	4
74	он сам	3	3
75	для них	3	3
76	именно в	3	3
77	в конце	8	3
78	да и	2	3
79	и как	6	3
80	в другом	3	3
81	что они	3	3
82	в качестве	4	3
83	еще не	3	3
84	несмотря на	6	3
85	в самом	5	3
86	точке зрения	2	3
87	что и	6	3
88	из них	2	3
89	данном случае	2	3
90	борьбе с	2	3
91	и сейчас	2	3
92	в значительной	2	3
93	того что	3	3
94	или в	4	3
95	тем что	2	3
96	в виде	10	3
97	связи с	7	3
98	о котором	3	3
99	из этого	4	3
100	конце концов	6	3
101	как акт	2	2
102	только для	2	2
103	а с	4	2
104	нисколько не	5	2
105	всю свою	3	2
106	и более	2	2
107	в частности	4	2
108	у него	11	2
109	по этому	2	2
110	но даже	4	2
111	что только	2	2
112	если только	2	2
113	точно так	3	2
114	ясно что	4	2
115	по себе	2	2
116	ни в	4	2
117	уже не	6	2
118	так что	11	2
119	из всех	2	2
120	именно на	2	2
121	указывает на	3	2
122	настоящее время	3	2
123	проявляется в	2	2
124	участие в	2	2
125	за то	2	2
126	и о	5	2
127	но для	2	2
128	в ней	3	2
129	и является	2	2
130	в котором	2	2
131	в настоящее	3	2
132	для себя	5	2
133	и тем	3	2
134	не к	2	2
135	людей или	2	2
136	для нас	10	2
137	ее в	2	2
138	и тогда	2	2
139	по отношению	2	2
140	если не	4	2
141	все эти	2	2
142	не просто	5	2
143	и что	6	2
144	а не	5	2
145	факт что	2	2
146	значительной мере	2	2
147	и даже	14	2
148	не так	4	2
149	к нему	3	2
150	так же	5	2
151	в других	3	2
152	в таком	2	2
153	свое собственное	2	2
154	людей и	13	2
155	в результате	7	2
156	больше чем	2	2
157	в силу	5	2
158	мы можем	5	2
159	даже и	4	2
160	в начале	3	2
161	в таких	2	2
162	как будто	3	2
163	с ним	3	2
164	в области	2	2
165	но в	9	2
166	любви к	2	2
