N	2gram	Propp_Russ_2	slovoVRo
1	и в	29	39
2	может быть	13	37
3	и т	5	35
4	не только	10	24
5	но и	8	21
6	не может	5	20
7	до конца	3	17
8	все это	10	16
9	в этом	11	16
10	а не	4	14
11	как в	7	13
12	отличие от	3	13
13	во всех	3	12
14	в отличие	3	12
15	не в	4	9
16	и с	10	9
17	прежде всего	2	8
18	таким образом	6	8
19	при этом	6	7
20	еще не	6	7
21	как бы	18	7
22	никогда не	2	7
23	в этих	3	7
24	как мы	3	7
25	могут быть	2	7
26	в него	2	7
27	в них	4	6
28	этом случае	6	6
29	все же	2	6
30	как и	11	6
31	но не	5	6
32	она не	3	6
33	там где	2	6
34	все эти	3	6
35	но в	5	6
36	с другой	2	5
37	это не	5	5
38	и для	2	5
39	и все	4	5
40	для нас	6	5
41	том что	22	5
42	одной стороны	2	5
43	в том	22	5
44	один из	2	5
45	с одной	2	5
46	уже не	4	5
47	не менее	2	4
48	одна из	11	4
49	связанные с	2	4
50	для этого	5	4
51	то же	4	4
52	и других	3	4
53	в таком	4	4
54	а в	9	4
55	с другими	3	4
56	и на	6	4
57	в то	2	4
58	его в	8	4
59	во всем	2	4
60	так как	13	4
61	если она	2	3
62	и там	3	3
63	что в	22	3
64	не столько	2	3
65	и от	3	3
66	в состав	2	3
67	здесь в	2	3
68	не с	2	3
69	что и	2	3
70	связи с	2	3
71	на этом	3	3
72	и как	2	3
73	к нему	4	3
74	связано с	2	3
75	в некоторых	9	3
76	в свете	3	3
77	а также	4	3
78	или даже	3	3
79	между тем	3	3
80	как это	4	3
81	чем в	2	2
82	в данном	6	2
83	не был	2	2
84	не было	2	2
85	и другие	14	2
86	но она	2	2
87	жизни в	2	2
88	но он	3	2
89	того как	2	2
90	тогда когда	4	2
91	п в	12	2
92	не всегда	3	2
93	как например	3	2
94	как уже	2	2
95	влияние на	2	2
96	этих случаях	4	2
97	или на	8	2
98	вокруг него	2	2
99	к ней	2	2
100	не все	4	2
101	должен быть	2	2
102	мы видели	7	2
103	то что	5	2
104	вместе с	6	2
105	а именно	3	2
106	в их	2	2
107	где они	2	2
108	в форме	2	2
109	кроме того	2	2
110	так в	2	2
111	с этим	2	2
112	т д	5	2
113	в виде	4	2
114	именно в	4	2
115	на них	4	2
116	это и	2	2
117	мы не	6	2
118	того чтобы	6	2
119	для того	6	2
120	одним из	2	2
121	или в	7	2
122	людей и	2	2
123	и при	2	2
124	далеко не	4	2
125	о том	9	2
