N	2gram	Potebnia_M_1	Problema
1	то есть	42	46
2	в его	5	43
3	и не	18	42
4	и в	39	38
5	познания и	2	30
6	не может	22	27
7	может быть	27	26
8	как бы	6	22
9	по отношению	13	21
10	отношению к	13	19
11	и с	3	17
12	и его	5	16
13	в нем	20	15
14	в этом	15	15
15	и т	6	14
16	независимо от	6	13
17	прежде всего	4	13
18	только в	25	13
19	т п	4	13
20	за пределы	2	12
21	в единстве	2	12
22	но не	8	12
23	во всех	5	11
24	и для	5	11
25	в их	2	10
26	таким образом	13	10
27	но и	20	9
28	не имеет	5	9
29	не только	21	9
30	в том	26	8
31	и как	6	8
32	точки зрения	8	8
33	было бы	12	8
34	для нее	2	8
35	то что	10	8
36	слова в	2	7
37	что в	22	7
38	с другой	7	7
39	не в	15	7
40	в самом	3	7
41	между тем	5	7
42	как и	9	7
43	еще не	6	7
44	в своей	3	7
45	как мы	2	7
46	а в	5	6
47	не есть	10	6
48	все же	6	6
49	с точки	3	6
50	мы можем	2	6
51	там где	4	6
52	то же	6	5
53	все они	2	5
54	в своем	3	5
55	это не	7	5
56	при этом	6	5
57	имеет место	2	5
58	никогда не	4	5
59	должно быть	7	5
60	с ним	3	5
61	в них	3	5
62	со словом	3	5
63	и о	2	5
64	так и	13	5
65	а не	21	5
66	тем как	3	5
67	быть только	5	5
68	могут быть	9	5
69	должна быть	3	4
70	не менее	6	4
71	только по	2	4
72	должны быть	7	4
73	в ней	7	4
74	в виду	2	4
75	другой стороны	5	4
76	и только	2	4
77	в других	2	4
78	сказать что	3	4
79	в более	4	4
80	в то	4	4
81	о том	2	4
82	и потому	5	4
83	к которому	3	4
84	но в	9	4
85	относится к	3	4
86	как в	10	4
87	тем самым	4	4
88	что не	10	4
89	хотя бы	2	4
90	в себе	13	4
91	мы будем	2	3
92	то ни	3	3
93	и от	3	3
94	слова но	2	3
95	тем не	6	3
96	но это	5	3
97	в противном	3	3
98	же время	4	3
99	одной стороны	3	3
100	несмотря на	5	3
101	хотя и	3	3
102	и тем	3	3
103	в целом	2	3
104	с одной	3	3
105	применении к	2	3
106	и даже	4	3
107	языка в	6	3
108	в применении	2	3
109	противном случае	3	3
110	все то	2	3
111	и должно	2	3
112	а как	2	3
113	ни было	2	3
114	если бы	14	3
115	и все	3	3
116	этом смысле	4	3
117	она может	3	3
118	том что	16	3
119	от него	4	3
120	бы то	2	3
121	все что	2	3
122	мы увидим	3	3
123	мы в	2	3
124	он не	3	3
125	помнить что	3	3
126	оно не	3	3
127	слова не	2	3
128	на него	3	3
129	связь с	2	3
130	но с	2	3
131	в мире	3	3
132	в слове	8	3
133	в таком	5	3
134	вопроса о	2	3
135	слова и	4	3
136	и это	3	3
137	чем в	2	2
138	не могут	4	2
139	том как	3	2
140	и есть	2	2
141	в этих	7	2
142	столь же	3	2
143	что все	3	2
144	в каждом	4	2
145	была бы	2	2
146	переходим к	2	2
147	на то	2	2
148	а только	4	2
149	что оно	2	2
150	не можем	2	2
151	не более	4	2
152	в свою	4	2
153	по поводу	3	2
154	что это	3	2
155	не имеют	5	2
156	но совершенно	2	2
157	лица и	2	2
158	не нуждается	2	2
159	не было	4	2
160	и других	4	2
161	в самой	3	2
162	и что	10	2
163	того что	8	2
164	есть только	11	2
165	языка но	3	2
166	в своих	4	2
167	не следует	5	2
168	нуждается в	2	2
169	только при	2	2
170	но как	3	2
171	в начале	2	2
172	во всем	4	2
173	в истории	7	2
174	о котором	3	2
175	мы должны	3	2
176	и которые	2	2
177	и более	2	2
178	их и	2	2
179	он должен	2	2
180	и во	3	2
181	не все	2	2
182	вовсе не	5	2
183	есть не	2	2
184	языка как	5	2
185	о которых	2	2
186	у нас	2	2
187	и при	3	2
188	связи с	3	2
189	она не	3	2
190	ни одна	2	2
191	том же	2	2
192	что и	6	2
193	бы не	6	2
194	язык в	8	2
195	того чтобы	2	2
196	для того	3	2
197	или в	2	2
198	тем что	9	2
199	и вообще	3	2
200	словом но	3	2
201	в таких	2	2
202	дело в	2	2
203	души и	5	2
204	не могли	2	2
