N	2gram	Vinokur_St_2	Problemy
1	и не	9	31
2	и в	29	29
3	в его	13	24
4	может быть	2	24
5	а не	5	22
6	в этом	21	22
7	т е	10	21
8	как бы	5	19
9	в нем	4	19
10	точки зрения	5	19
11	для него	4	18
12	не только	19	15
13	то что	11	15
14	но и	19	14
15	и его	6	14
16	то же	2	14
17	с точки	2	13
18	как и	2	12
19	не может	2	12
20	таким образом	10	12
21	в одном	6	10
22	в самом	7	10
23	в то	2	10
24	только в	2	10
25	там где	2	10
26	с его	2	9
27	все же	6	9
28	в романе	4	9
29	но не	3	9
30	все эти	2	9
31	если бы	2	9
32	в своем	9	8
33	до конца	3	8
34	по себе	3	8
35	что он	13	8
36	что в	19	8
37	в своей	7	8
38	потому что	9	8
39	в том	27	8
40	прежде всего	5	7
41	вовсе не	6	7
42	а как	4	7
43	том что	27	7
44	не в	4	7
45	так и	9	7
46	и как	2	7
47	и на	6	7
48	в себе	2	7
49	но в	8	7
50	все это	11	6
51	в одной	2	6
52	в конце	2	6
53	выражение в	2	6
54	о мире	2	6
55	несмотря на	2	6
56	одним из	6	6
57	как в	3	6
58	как раз	8	6
59	самом деле	3	6
60	так же	3	6
61	его в	2	6
62	и потому	2	6
63	так как	2	6
64	и др	2	5
65	именно в	4	5
66	было бы	5	5
67	но все	7	5
68	и о	4	5
69	он не	9	5
70	на самом	3	5
71	во всяком	3	5
72	между тем	5	5
73	и это	2	5
74	ничего не	4	5
75	в результате	2	4
76	что было	2	4
77	идет о	3	4
78	что и	2	4
79	его как	2	4
80	должна была	2	4
81	но это	3	4
82	и с	4	4
83	даже в	2	4
84	в процессе	2	4
85	не на	2	4
86	и т	9	4
87	не было	3	4
88	тем что	3	4
89	они не	2	4
90	в этой	2	4
91	я не	7	3
92	была бы	5	3
93	никогда не	3	3
94	в них	2	3
95	сами по	2	3
96	с другой	4	3
97	ни в	3	3
98	по существу	2	3
99	не дает	2	3
100	кроме того	4	3
101	и пр	8	3
102	всяком случае	3	3
103	на почве	2	3
104	оно не	3	3
105	в духе	2	3
106	в их	3	3
107	другой стороны	3	3
108	тому что	7	3
109	как на	9	3
110	т п	3	3
111	этом отношении	9	3
112	например в	3	3
113	и здесь	3	3
114	сказать что	2	3
115	но с	4	3
116	отношении к	3	3
117	на вопрос	3	2
118	самого начала	3	2
119	связи с	4	2
120	то ни	2	2
121	хотя бы	3	2
122	с этой	2	2
123	но они	2	2
124	для своего	2	2
125	вопрос о	6	2
126	художественного изображения	2	2
127	и к	4	2
128	он писал	3	2
129	так что	3	2
130	из его	2	2
131	не потому	2	2
132	него самого	2	2
133	бы то	2	2
134	при этом	2	2
135	сколько в	3	2
136	на себя	3	2
137	своего времени	4	2
138	и сам	2	2
139	кажется что	3	2
140	если б	4	2
141	наконец в	3	2
142	никак не	2	2
143	до сих	6	2
144	в котором	7	2
145	в один	2	2
146	на его	2	2
147	ни одного	3	2
148	сих пор	5	2
149	ни было	2	2
150	в отношении	2	2
151	и даже	3	2
152	в той	5	2
153	и что	6	2
154	на этот	2	2
155	конечно и	2	2
156	в данном	2	2
157	этот вопрос	2	2
158	в ней	7	2
159	но он	3	2
160	как например	2	2
161	в истории	2	2
162	в россии	3	2
163	в которой	11	2
164	в чисто	2	2
165	с этим	3	2
