N	2gram	Tiupa_Narr_1	slovoVRo
1	и в	19	39
2	может быть	25	37
3	и его	5	33
4	то есть	19	26
5	не только	32	24
6	и не	20	22
7	но и	23	21
8	не может	10	20
9	в нем	4	19
10	в этом	17	16
11	так и	9	15
12	а не	12	14
13	как в	7	13
14	отличие от	5	13
15	в пределах	2	13
16	в отличие	5	12
17	не в	14	9
18	языка и	2	9
19	и с	4	9
20	прежде всего	4	8
21	себя в	5	8
22	оно не	2	8
23	точки зрения	10	8
24	с его	6	7
25	при этом	9	7
26	для него	2	7
27	еще не	7	7
28	в его	9	7
29	как бы	4	7
30	никогда не	3	7
31	и потому	2	7
32	и даже	3	7
33	как мы	3	7
34	могут быть	3	7
35	все же	7	6
36	как и	7	6
37	в своем	2	6
38	но не	5	6
39	она не	2	6
40	в сущности	3	6
41	значительной степени	2	6
42	жизни и	3	6
43	в значительной	2	6
44	все эти	2	6
45	но в	6	6
46	с другой	8	5
47	это не	2	5
48	и для	2	5
49	и все	2	5
50	по себе	5	5
51	том что	14	5
52	но все	4	5
53	или иной	5	5
54	одной стороны	7	5
55	только в	4	5
56	в том	18	5
57	например в	2	5
58	той или	4	5
59	один из	3	5
60	с одной	7	5
61	человека в	2	5
62	уже не	5	5
63	героя и	4	5
64	мира и	2	5
65	не менее	3	4
66	и др	2	4
67	себя и	2	4
68	двуголосого слова	3	4
69	ни в	3	4
70	отношению к	6	4
71	же время	4	4
72	одна из	3	4
73	наконец в	2	4
74	по отношению	7	4
75	отношения к	2	4
76	то же	4	4
77	в той	6	4
78	в таком	2	4
79	а в	11	4
80	и на	3	4
81	дело с	2	4
82	в основе	5	4
83	в то	3	4
84	отношение к	2	4
85	его в	2	4
86	здесь не	4	4
87	перед нами	4	3
88	что в	3	3
89	точку зрения	4	3
90	хотя бы	4	3
91	не столько	4	3
92	должна быть	2	3
93	в собственном	2	3
94	не с	3	3
95	в свою	3	3
96	точек зрения	2	3
97	связи с	4	3
98	у него	4	3
99	всех его	2	3
100	и как	5	3
101	как к	2	3
102	в ней	3	3
103	к нему	5	3
104	этом отношении	3	3
105	героя в	8	3
106	а также	7	3
107	с точки	2	3
108	или даже	2	3
109	сказать что	4	3
110	между тем	3	3
111	говорить о	2	3
112	в особенности	4	3
113	как это	6	3
114	может не	3	2
115	в данном	5	2
116	уже в	3	2
117	не было	2	2
118	независимо от	2	2
119	хотя и	3	2
120	однако в	2	2
121	включает в	2	2
122	жизни в	3	2
123	говорит и	2	2
124	не всегда	2	2
125	только о	2	2
126	в себе	8	2
127	что он	6	2
128	она может	2	2
129	с ее	3	2
130	на протяжении	6	2
131	более или	2	2
132	свою очередь	3	2
133	вокруг него	2	2
134	о нем	4	2
135	мифологическое мышление	2	2
136	даже в	2	2
137	точка зрения	6	2
138	не все	5	2
139	которого он	2	2
140	то что	11	2
141	зрения и	2	2
142	его как	2	2
143	те же	4	2
144	на него	3	2
145	или менее	2	2
146	а именно	3	2
147	в форме	5	2
148	отличается от	4	2
149	в связи	2	2
150	особенно в	3	2
151	именно в	6	2
152	это и	3	2
153	в себя	6	2
154	они не	2	2
155	и т.п	8	2
156	одним из	2	2
157	в чужой	2	2
158	роль в	2	2
159	или в	2	2
160	в результате	2	2
161	он не	3	2
162	нуждается в	5	2
163	далеко не	5	2
164	но как	2	2
165	в противовес	4	2
166	в прошлом	3	2
167	о том	6	2
168	зрения на	2	2
169	в области	2	2
170	оно может	2	2
