N	2gram	Nazirov_Tv_2	Problemy
1	из подполья	6	36
2	и в	20	34
3	и не	9	29
4	как бы	11	27
5	что он	6	23
6	в его	10	22
7	может быть	8	19
8	в нем	3	19
9	не может	7	19
10	как и	6	18
11	но в	4	16
12	все это	6	16
13	и его	9	16
14	в этом	8	16
15	и с	8	15
16	прежде всего	8	15
17	что я	2	15
18	он не	3	15
19	то же	7	14
20	самом деле	2	13
21	для него	3	13
22	у достоевского	30	13
23	но и	8	12
24	же время	7	12
25	потому что	7	12
26	в то	10	12
27	вовсе не	2	11
28	то что	3	11
29	с другим	2	11
30	а я	2	10
31	не только	13	10
32	не в	4	9
33	а не	6	9
34	героя и	2	9
35	никогда не	11	8
36	в самом	3	8
37	и т	13	8
38	так же	5	8
39	с ним	3	8
40	я не	2	7
41	что в	7	7
42	и даже	5	7
43	настасьи филипповны	4	7
44	все же	5	7
45	на него	2	7
46	что не	3	7
47	что они	4	6
48	что у	4	6
49	и на	5	6
50	с ними	2	6
51	отношению к	3	6
52	так и	6	6
53	т п	2	6
54	в плане	3	6
55	в себе	3	6
56	только в	2	6
57	он сам	3	5
58	все время	2	5
59	это не	7	5
60	и от	4	5
61	в конце	6	5
62	так что	2	5
63	и что	2	5
64	и сам	5	5
65	всяком случае	2	5
66	в целом	6	5
67	из них	2	5
68	по отношению	3	5
69	таким образом	10	5
70	а в	4	5
71	и наконец	2	5
72	творчестве достоевского	4	5
73	в одном	2	5
74	героя в	4	5
75	и у	2	5
76	во всяком	2	5
77	в чем	4	5
78	настасья филипповна	4	5
79	и вдруг	2	4
80	с другой	2	4
81	но это	5	4
82	у него	6	4
83	при этом	8	4
84	на его	4	4
85	все эти	4	4
86	рядом с	2	4
87	для достоевского	2	4
88	в начале	3	4
89	его в	3	4
90	так как	3	4
91	если бы	4	4
92	но не	5	4
93	еще не	5	4
94	героев достоевского	5	4
95	как в	4	4
96	в мире	5	4
97	с другими	2	4
98	тем что	3	4
99	в виде	2	4
100	и это	3	4
101	ничего не	4	4
102	вместе с	3	4
103	за собой	4	3
104	не менее	2	3
105	уже в	2	3
106	романах достоевского	13	3
107	мире достоевского	3	3
108	в такой	2	3
109	в том	8	3
110	что его	2	3
111	в братьях	6	3
112	такой же	2	3
113	хотя и	4	3
114	в котором	3	3
115	другой стороны	2	3
116	его и	2	3
117	с иваном	2	3
118	в одной	3	3
119	достоевского и	2	3
120	братьях карамазовых	7	3
121	их в	2	3
122	говорить о	2	3
123	в романах	13	3
124	по крайней	2	3
125	в ее	2	3
126	том что	4	3
127	я бы	3	3
128	между тем	3	3
129	достоевского нет	3	3
130	ивана карамазова	8	3
131	нет и	2	3
132	достоевского в	9	3
133	но зато	3	3
134	крайней мере	2	3
135	в своей	6	3
136	к самому	2	3
137	а с	3	3
138	если не	4	3
139	сводится к	2	3
140	в записках	3	3
141	в творчестве	5	3
142	только с	2	3
143	не было	2	2
144	в душе	4	2
145	в роман	2	2
146	это уже	2	2
147	с этой	3	2
148	не знал	2	2
149	и если	2	2
150	например в	5	2
151	записках из	3	2
152	не является	3	2
153	один из	3	2
154	от этой	2	2
155	в этот	2	2
156	друг друга	2	2
157	и только	2	2
158	т д	11	2
159	в произведениях	2	2
160	сам в	2	2
161	особенно в	2	2
162	отказаться от	2	2
163	в которых	3	2
164	несколько раз	3	2
165	о том	5	2
166	к которому	2	2
167	и лишь	2	2
168	отнюдь не	4	2
169	в преступлении	10	2
170	более того	2	2
171	достоевского это	3	2
172	и потому	4	2
173	своего рода	3	2
174	когда он	4	2
175	так в	2	2
176	в отличие	2	2
177	бы не	2	2
178	тому же	2	2
179	в силах	2	2
180	уже не	3	2
181	и он	2	2
182	в которой	2	2
183	и без	2	2
184	и ее	2	2
185	и вообще	2	2
186	которой он	2	2
187	так сказать	2	2
188	отличие от	2	2
189	же не	2	2
190	произведениях достоевского	2	2
191	братьев карамазовых	4	2
