N	2gram	Tiupa_Hudo_2	Dialekti
1	т е	2	30
2	и не	18	30
3	может быть	8	20
4	и в	28	19
5	не только	11	19
6	и т	4	17
7	а не	14	16
8	т д	2	15
9	в себе	9	15
10	то что	6	14
11	что она	7	14
12	в том	15	14
13	как бы	5	14
14	потому что	2	14
15	вовсе не	2	13
16	но и	9	12
17	то же	6	12
18	точки зрения	2	12
19	и все	7	12
20	что это	5	10
21	как и	11	10
22	в нем	3	10
23	так и	8	10
24	том что	19	10
25	это не	6	10
26	сказать что	2	10
27	никогда не	5	9
28	не может	4	9
29	же и	2	9
30	личности в	3	8
31	прежде всего	3	8
32	она не	5	8
33	мы уже	3	8
34	с точки	2	8
35	не в	13	8
36	в этом	13	8
37	в своей	6	8
38	в душе	8	7
39	как это	7	7
40	и к	2	7
41	что в	5	7
42	и то	2	7
43	как будто	4	7
44	я не	7	6
45	что он	8	6
46	что не	2	6
47	да и	5	6
48	что они	4	6
49	отнюдь не	2	6
50	в то	6	6
51	но не	4	6
52	есть и	3	6
53	не могу	3	6
54	жизни и	6	6
55	чтобы не	3	6
56	личности и	2	6
57	с другой	3	5
58	же время	4	5
59	можно сказать	6	5
60	в самом	5	5
61	что и	4	5
62	и это	3	5
63	как раз	4	5
64	и его	5	5
65	говорить о	2	5
66	только в	4	5
67	о том	12	5
68	и с	6	5
69	в своем	5	4
70	та же	2	4
71	в одном	3	4
72	в ее	18	4
73	все же	2	4
74	при этом	11	4
75	еще не	3	4
76	к нему	3	4
77	он не	4	4
78	хотя бы	2	4
79	ни с	2	4
80	все это	3	4
81	и только	2	4
82	самом деле	3	4
83	а в	6	4
84	одно из	5	4
85	в другом	2	4
86	как он	3	4
87	с ним	7	4
88	как только	3	3
89	не менее	5	3
90	и уже	4	3
91	же как	2	3
92	о чем	8	3
93	все время	3	3
94	в этих	3	3
95	в это	3	3
96	и от	2	3
97	с нею	3	3
98	была бы	3	3
99	об этом	7	3
100	как мы	2	3
101	уже не	10	3
102	в этой	5	3
103	было бы	3	3
104	как же	2	3
105	из них	2	3
106	и тогда	2	3
107	не было	6	3
108	в данном	2	3
109	нуждается в	2	3
110	будто бы	3	3
111	его в	2	3
112	ничего не	5	3
113	все его	3	3
114	же не	2	3
115	это было	2	3
116	что же	2	2
117	только не	2	2
118	это уже	2	2
119	в частности	7	2
120	что у	3	2
121	перед нами	11	2
122	в состоянии	3	2
123	человека и	3	2
124	именно в	2	2
125	к тому	7	2
126	что на	3	2
127	тем не	4	2
128	что я	2	2
129	не будет	2	2
130	различия между	2	2
131	до сих	2	2
132	ни о	3	2
133	несмотря на	3	2
134	вот и	5	2
135	не по	2	2
136	в ней	3	2
137	если в	2	2
138	сам не	2	2
139	сих пор	2	2
140	раз в	3	2
141	себя в	8	2
142	в мире	7	2
143	на него	3	2
144	дело не	2	2
145	данном случае	2	2
146	жизни с	2	2
147	тому что	4	2
148	так же	3	2
149	не во	2	2
150	т п	2	2
151	личность в	3	2
152	того как	2	2
153	с ее	5	2
154	с одной	3	2
155	как в	5	2
156	жизнь в	2	2
157	человеческой жизни	6	2
158	бы и	4	2
159	или в	3	2
160	с ними	3	2
161	между тем	8	2
162	не как	2	2
163	тем что	6	2
164	в виде	2	2
165	что личность	2	2
166	в воздухе	2	2
167	же самое	3	2
168	того или	2	2
169	но в	2	2
170	я и	6	2
171	в жизни	8	2
172	том как	2	2
173	вместе с	2	2
174	на этом	2	2
