N	2gram	Vinokur_Ku_1	Otkroven
1	и в	24	19
2	но и	6	13
3	и не	12	13
4	в этом	14	12
5	а не	8	11
6	не в	11	11
7	может быть	13	11
8	не только	10	11
9	и все	2	10
10	вопрос о	2	10
11	в нем	4	10
12	никогда не	2	9
13	не было	3	9
14	в самой	4	9
15	потому что	23	9
16	прежде всего	9	9
17	и он	3	8
18	лишь в	2	7
19	до конца	2	7
20	он не	2	7
21	в его	12	7
22	все это	6	6
23	как и	2	6
24	то что	9	5
25	а в	5	5
26	в том	30	5
27	в этой	3	5
28	в самом	10	5
29	с его	4	4
30	и мысли	2	4
31	т е	38	4
32	только и	3	4
33	того чтобы	17	4
34	что не	5	4
35	есть лишь	3	4
36	и его	5	4
37	все эти	6	4
38	не может	7	4
39	что в	17	4
40	не могут	2	3
41	в этих	4	3
42	и есть	2	3
43	это не	7	3
44	что он	6	3
45	того что	9	3
46	для того	16	3
47	хотя бы	10	3
48	еще не	5	3
49	в себе	3	3
50	было бы	15	3
51	когда он	3	3
52	о том	9	3
53	с ним	5	3
54	как бы	7	3
55	это было	2	3
56	любовь к	2	2
57	подойти к	2	2
58	уже в	3	2
59	все же	12	2
60	что и	4	2
61	не есть	4	2
62	ее в	2	2
63	и для	2	2
64	с тем	5	2
65	можно ли	2	2
66	в истории	3	2
67	так и	7	2
68	в своем	3	2
69	что же	6	2
70	не все	2	2
71	что все	2	2
72	по себе	2	2
73	потребность в	3	2
74	не имеет	2	2
75	должно быть	3	2
76	в которой	6	2
77	том что	21	2
78	так что	4	2
79	и на	4	2
80	и то	3	2
81	что они	4	2
82	и с	5	2
83	учение о	4	2
84	тем что	8	2
85	и против	2	2
86	одно из	2	2
87	даже и	3	2
88	в своей	2	2
89	так как	9	2
90	ничего не	2	2
91	хотя и	3	2
92	но в	2	2
93	и потому	4	2
