N	2gram	Bakhtin_KF_1	FransuaR
1	и в	24	29
2	и не	26	16
3	и все	7	13
4	в этой	2	13
5	как и	5	12
6	но в	5	12
7	так и	2	11
8	и на	3	11
9	в этом	14	11
10	то же	5	10
11	в то	3	10
12	не только	5	10
13	вовсе не	7	9
14	но и	9	9
15	все эти	10	9
16	его в	5	9
17	же время	2	8
18	прежде всего	2	8
19	в его	40	8
20	и его	17	8
21	как бы	9	8
22	в том	6	7
23	что это	3	5
24	это не	10	5
25	это и	2	5
26	до конца	3	5
27	в нем	28	5
28	в своей	10	5
29	рядом с	3	5
30	он и	2	5
31	весь мир	2	5
32	что он	2	4
33	но это	6	4
34	по своему	3	4
35	еще не	4	4
36	и есть	9	4
37	один из	2	4
38	то что	7	4
39	жизни и	8	4
40	конечно не	7	4
41	все это	10	4
42	на самом	3	4
43	жизнь и	2	4
44	тем что	3	4
45	точки зрения	12	4
46	мира и	4	4
47	всех этих	3	3
48	в качестве	2	3
49	в своем	16	3
50	с ее	2	3
51	и здесь	7	3
52	в ее	16	3
53	все же	5	3
54	но как	5	3
55	том что	4	3
56	и как	2	3
57	того что	3	3
58	и их	6	3
59	он не	6	3
60	к нему	12	3
61	здесь не	3	3
62	но конечно	3	3
63	как к	2	3
64	при этом	4	3
65	и других	2	3
66	и за	2	3
67	того чтобы	2	3
68	для того	3	3
69	что значит	2	3
70	с ними	3	3
71	в ней	3	3
72	в себе	21	3
73	там где	5	3
74	в чем	4	3
75	место в	5	2
76	времени и	4	2
77	бы не	3	2
78	время и	5	2
79	к этому	2	2
80	жизни в	5	2
81	но здесь	3	2
82	в жизни	2	2
83	его к	2	2
84	а как	2	2
85	ни в	12	2
86	соответствии с	2	2
87	что я	5	2
88	именно в	5	2
89	но не	12	2
90	на нем	2	2
91	в себя	7	2
92	не может	27	2
93	и мы	2	2
94	стороны в	3	2
95	может быть	45	2
96	никогда не	5	2
97	уже не	7	2
98	в виду	3	2
99	в котором	24	2
100	со стороны	7	2
101	и для	9	2
102	себя в	8	2
103	его и	2	2
104	как в	2	2
105	в ту	2	2
106	в их	8	2
107	мир в	11	2
108	и под	2	2
109	мы здесь	2	2
110	и эта	2	2
111	с точки	9	2
112	где он	3	2
113	в своих	3	2
114	и то	2	2
115	в основе	5	2
116	единая и	3	2
117	только в	16	2
118	о том	3	2
119	и это	12	2
120	дело в	2	2
121	и этим	3	2
122	с ним	5	2
