N	2gram	Tiupa_Narr_1	Mirosoze
1	и в	19	46
2	в нем	4	22
3	у него	4	22
4	может быть	25	21
5	в этом	17	20
6	никогда не	3	18
7	для него	2	18
8	и не	20	18
9	не только	32	18
10	но и	23	15
11	не может	10	15
12	человека в	2	14
13	как и	7	13
14	не есть	3	13
15	а не	12	13
16	прежде всего	4	12
17	не было	2	11
18	в ней	3	11
19	и он	3	11
20	та же	2	10
21	но в	6	10
22	он не	3	10
23	в себе	8	10
24	не в	14	9
25	как бы	4	8
26	в своем	2	8
27	отношение к	2	8
28	она не	2	8
29	в мире	9	7
30	в этой	5	7
31	что он	6	7
32	и потому	2	7
33	как в	7	7
34	хотя бы	4	7
35	и для	2	7
36	он сам	2	6
37	что это	3	6
38	так же	2	6
39	жизни и	3	6
40	то же	4	5
41	один из	3	5
42	те же	4	5
43	это не	2	5
44	и все	2	5
45	к тому	7	5
46	то что	11	5
47	и его	5	5
48	в его	9	5
49	что в	3	4
50	что у	2	4
51	они не	2	4
52	не имеет	2	4
53	с его	6	4
54	в свою	3	4
55	том что	14	4
56	себя в	5	4
57	так и	9	4
58	уже не	5	4
59	же как	3	3
60	себя и	2	3
61	нет у	2	3
62	ни в	3	3
63	в том	18	3
64	что они	3	3
65	было в	2	3
66	и самого	3	3
67	жизни в	3	3
68	не мог	4	3
69	и на	3	3
70	сказать что	4	3
71	и с	4	3
72	что иное	2	3
73	по своей	3	3
74	о том	6	3
75	его в	2	3
76	иное как	2	3
77	к которому	2	3
78	не существует	3	3
79	к другому	2	3
80	не что	2	3
81	это и	3	3
82	не будет	3	3
83	тем что	3	3
84	только в	4	3
85	есть в	2	3
86	что нет	2	3
87	уже в	3	2
88	быть может	2	2
89	не всегда	2	2
90	или иной	5	2
91	да и	4	2
92	такого рода	7	2
93	жизни а	2	2
94	хотя и	3	2
95	к нему	5	2
96	по отношению	7	2
97	как к	2	2
98	отношения к	2	2
99	а в	11	2
100	к себе	5	2
101	в основе	5	2
102	не о	3	2
103	точки зрения	10	2
104	в церкви	4	2
105	приходит к	2	2
106	не случайно	2	2
107	между тем	3	2
108	личности в	2	2
109	по себе	5	2
110	то в	6	2
111	связи с	4	2
112	и тот	2	2
113	не от	2	2
114	в сущности	3	2
115	он уже	2	2
116	оно не	2	2
117	отношению к	6	2
118	к самому	2	2
119	бы не	2	2
120	что не	4	2
121	можно было	2	2
122	тому как	2	2
123	подобно тому	2	2
124	как будто	3	2
125	это все	2	2
126	ничего не	2	2
