N	2gram	Berdyaev_N_1	Komedia
1	и в	16	26
2	и не	11	14
3	к тому	3	12
4	так и	2	12
5	в том	8	11
6	может быть	7	11
7	но и	3	10
8	на протяжении	2	10
9	в этом	7	10
10	что в	9	9
11	том что	2	9
12	вместе с	2	9
13	и на	2	7
14	не только	5	7
15	то что	4	6
16	еще не	3	6
17	наряду с	3	6
18	в нем	5	6
19	того чтобы	2	6
20	потому что	4	6
21	в то	2	6
22	о том	4	6
23	с его	6	5
24	с тем	3	5
25	ни в	6	5
26	в истории	3	5
27	с этим	2	5
28	и с	2	5
29	место в	2	4
30	не менее	4	4
31	у него	2	4
32	в них	4	4
33	и от	2	4
34	прежде всего	4	4
35	как и	7	4
36	как будто	2	4
37	с их	2	4
38	хотя и	2	4
39	и для	4	4
40	можно было	2	4
41	как это	2	4
42	это было	3	4
43	вопрос о	3	3
44	жизни и	8	3
45	но не	2	3
46	во всех	3	3
47	в ней	5	3
48	не имеет	4	3
49	себя в	2	3
50	в своей	3	3
51	все это	5	3
52	не было	4	3
53	как в	3	3
54	а в	2	3
55	войны и	2	3
56	не может	16	3
57	но в	2	3
58	все время	2	2
59	и есть	10	2
60	с другой	3	2
61	это не	4	2
62	нового времени	12	2
63	в духе	3	2
64	этом смысле	2	2
65	нет и	2	2
66	и к	5	2
67	в ее	3	2
68	не в	6	2
69	одна из	2	2
70	по своему	4	2
71	античного мира	4	2
72	одной стороны	2	2
73	как не	8	2
74	ни одна	2	2
75	он не	8	2
76	время как	2	2
77	хотя бы	2	2
78	и это	2	2
79	в мире	3	2
80	что она	2	2
81	с одной	2	2
82	и что	2	2
83	времени в	2	2
84	роль в	2	2
85	мы не	2	2
86	и все	4	2
