N	2gram	Tiupa_Narr_1	VLabPisa
1	в этом	17	26
2	и в	19	25
3	не только	32	22
4	может быть	25	21
5	хотя бы	4	20
6	и не	20	19
7	не может	10	17
8	в его	9	15
9	прежде всего	4	13
10	в том	18	13
11	этом отношении	3	13
12	в частности	14	12
13	как это	6	12
14	с другой	8	11
15	в силу	4	11
16	из них	3	11
17	в качестве	21	10
18	о том	6	10
19	что в	3	9
20	для него	2	9
21	и др	2	9
22	но и	23	9
23	то же	4	9
24	говорит и	2	8
25	все эти	2	8
26	в своем	2	8
27	другой стороны	4	8
28	могут быть	3	8
29	из этих	3	7
30	же в	4	7
31	как и	7	7
32	том что	14	7
33	было бы	4	7
34	в конечном	3	7
35	говорит о	2	7
36	отношению к	6	7
37	по отношению	7	7
38	не было	2	7
39	а не	12	7
40	у него	4	6
41	это не	2	6
42	в себе	8	6
43	это и	3	6
44	то что	11	6
45	более или	2	6
46	в нем	4	6
47	так и	9	6
48	или менее	2	6
49	и его	5	6
50	между тем	3	6
51	в то	3	6
52	в результате	2	5
53	же время	4	5
54	конечном счете	2	5
55	все же	7	5
56	как говорит	3	5
57	в пределах	2	5
58	связи с	4	5
59	одним из	2	5
60	как бы	4	5
61	один из	3	5
62	приводит к	2	5
63	сказать что	4	5
64	только в	4	5
65	не в	14	5
66	не является	8	5
67	к тому	7	4
68	никогда не	3	4
69	перед нами	4	4
70	что он	6	4
71	с его	6	4
72	можно сказать	5	4
73	в ее	3	4
74	одна из	3	4
75	даже в	2	4
76	когда он	3	4
77	как раз	2	4
78	в связи	2	4
79	в этой	5	4
80	утверждать что	2	4
81	в противоположность	2	3
82	и ее	2	3
83	и как	5	3
84	по существу	2	3
85	различного рода	3	3
86	что они	3	3
87	но как	2	3
88	или в	2	3
89	что не	4	3
90	например в	2	3
91	вслед за	4	3
92	далеко не	5	3
93	и он	3	3
94	нет и	2	3
95	его в	2	3
96	жизни и	3	3
97	именно в	6	3
98	сводится к	3	3
99	в значительной	2	3
100	при всем	2	3
101	так же	2	3
102	точки зрения	10	3
103	она не	2	3
104	всего лишь	2	3
105	не менее	3	2
106	том числе	6	2
107	он сам	2	2
108	зависит от	2	2
109	из многочисленных	2	2
110	например как	2	2
111	мира и	2	2
112	отличается от	4	2
113	не всегда	2	2
114	роль в	2	2
115	по себе	5	2
116	было в	2	2
117	только о	2	2
118	или иной	5	2
119	и потому	2	2
120	но не	5	2
121	числе и	4	2
122	всех его	2	2
123	как известно	2	2
124	еще не	7	2
125	одной стороны	7	2
126	и процессов	2	2
127	одной из	4	2
128	который по	3	2
129	мы имеем	2	2
130	в ней	3	2
131	и даже	3	2
132	отнюдь не	5	2
133	если в	3	2
134	лица и	2	2
135	может не	3	2
136	даже не	3	2
137	во всей	2	2
138	бы не	2	2
139	а в	11	2
140	в особенности	4	2
141	с одной	7	2
142	при всей	4	2
143	человека в	2	2
144	этой точки	2	2
145	из которых	4	2
146	между ними	2	2
147	и для	2	2
148	можно было	2	2
149	тому как	2	2
150	не столько	4	2
151	пока еще	4	2
152	хотя и	3	2
153	не о	3	2
154	он не	3	2
155	подобно тому	2	2
156	они не	2	2
157	говорить о	2	2
158	что мы	2	2
159	того или	2	2
160	будто бы	3	2
161	в области	2	2
162	же как	3	2
163	о чем	2	2
164	но в	6	2
165	что нет	2	2
