N	2gram	Tiupa_Anal_2	Narrotol
1	не только	16	31
2	но и	12	27
3	и не	12	23
4	при этом	10	19
5	может быть	6	15
6	в частности	16	14
7	в качестве	11	14
8	в тексте	24	13
9	как и	14	13
10	а не	10	13
11	а в	3	13
12	только в	4	12
13	в этом	18	12
14	и в	16	11
15	в данном	8	11
16	состоит в	8	10
17	такого рода	2	10
18	своего рода	12	10
19	и его	4	10
20	тогда как	19	10
21	то что	7	9
22	во времени	2	9
23	то есть	9	9
24	то же	4	8
25	в том	12	8
26	данном случае	5	8
27	со стороны	3	8
28	и т.п	8	8
29	не может	4	8
30	уже не	4	8
31	иначе говоря	11	8
32	представляет собой	8	8
33	если бы	3	7
34	у него	4	7
35	том что	12	7
36	на протяжении	2	7
37	но в	6	7
38	и т.д	3	6
39	одного из	3	6
40	к тому	7	6
41	а также	7	6
42	не в	4	6
43	и он	2	6
44	в самом	6	6
45	не мог	3	6
46	как бы	10	6
47	один из	2	6
48	как раз	4	6
49	тому же	4	6
50	или в	3	6
51	в себе	7	6
52	в его	2	6
53	в этой	9	6
54	можно сказать	4	5
55	в соответствии	2	5
56	той или	3	5
57	в своей	2	5
58	так и	15	5
59	тем самым	4	5
60	столь же	4	5
61	и на	6	5
62	между двумя	4	5
63	точки зрения	4	5
64	как правило	4	5
65	о чем	2	4
66	никогда не	3	4
67	с позиции	2	4
68	или иной	3	4
69	что на	3	4
70	соответствии с	2	4
71	для него	4	4
72	но не	4	4
73	же время	2	4
74	прежде всего	3	4
75	еще не	2	4
76	имеет место	4	4
77	и тем	4	4
78	в мире	6	4
79	из них	3	4
80	по себе	2	4
81	как в	4	4
82	внимание на	2	4
83	того что	2	4
84	в речи	3	4
85	являет собой	3	4
86	хотя и	4	4
87	на себя	5	4
88	в то	2	4
89	о том	7	4
90	в эпизоде	10	4
91	в одном	2	4
92	в сознании	4	4
93	не менее	4	3
94	тому как	3	3
95	повествования и	3	3
96	что в	2	3
97	в нашем	3	3
98	в своем	4	3
99	текста в	6	3
100	повествования в	2	3
101	сводится к	3	3
102	тем не	3	3
103	в поле	4	3
104	в целом	8	3
105	себя внимание	3	3
106	картины мира	2	3
107	при всей	3	3
108	он не	2	3
109	в конечном	3	3
110	еще в	2	3
111	речь идет	2	3
112	отношению к	4	3
113	в ходе	4	3
114	главного героя	3	3
115	или напротив	2	3
116	по отношению	4	3
117	в центре	3	3
118	этом отношении	3	3
119	именно в	3	3
120	лишь в	9	3
121	едва ли	3	3
122	обращает на	3	3
123	и то	3	3
124	подобно тому	3	3
125	как будто	3	3
126	и все	3	3
127	представляют собой	2	3
128	присутствия в	2	3
129	всего лишь	8	3
130	как это	6	3
131	мы имеем	3	3
132	между тем	2	3
133	стало быть	2	3
134	художественного высказывания	2	2
135	встречи с	2	2
136	классического реализма	2	2
137	казалось бы	3	2
138	о своей	2	2
139	отнюдь не	8	2
140	в этих	2	2
141	тот кто	2	2
142	в конце	4	2
143	в сущности	4	2
144	на то	2	2
145	ему в	3	2
146	о его	4	2
147	к его	2	2
148	как мы	3	2
149	с ее	2	2
150	все что	2	2
151	имеем дело	3	2
152	и стал	2	2
153	в пределах	9	2
154	она не	2	2
155	в первой	3	2
156	ни о	3	2
157	один голос	2	2
158	в случае	2	2
159	речь самого	2	2
160	никак не	2	2
161	в обоих	2	2
162	в роли	2	2
163	и является	4	2
164	не имеет	2	2
165	на две	3	2
166	себя в	2	2
167	вместе с	2	2
168	дело не	2	2
169	внутреннего зрения	12	2
170	ли не	2	2
171	только на	3	2
172	другой стороны	2	2
173	в отличие	2	2
174	текста как	2	2
175	ключ к	3	2
176	высказывания в	3	2
177	и даже	9	2
178	времени в	4	2
179	с другой	6	2
180	и для	2	2
181	особенно в	7	2
182	отличие от	2	2
183	роль в	2	2
184	в таком	2	2
185	ничего не	9	2
186	с ними	3	2
187	самого рассказывания	2	2
188	в результате	3	2
189	сказать что	2	2
190	не о	2	2
191	что касается	3	2
192	он и	2	2
193	я в	3	2
194	жизни но	2	2
195	в произведении	2	2
196	в кадры	2	2
197	с ним	2	2
198	это было	2	2
199	за пределами	2	2
