N	2gram	Medvedev_S_1	Vvedenie
1	и в	3	32
2	в том	5	31
3	в этом	5	30
4	может быть	2	26
5	том что	2	26
6	не только	3	22
7	таким образом	2	19
8	то что	2	16
9	в его	3	12
10	только в	2	12
11	что в	2	10
12	то же	2	9
13	не в	3	8
14	было бы	2	7
15	только как	2	7
16	но и	2	6
17	все это	7	6
18	как бы	2	5
19	по отношению	2	4
20	и что	2	4
21	но ведь	3	4
22	и заключается	2	4
23	еще не	2	4
24	отношению к	2	4
25	истории литературы	10	3
26	в частности	2	3
27	в конце	2	3
28	дело не	2	3
29	в результате	2	3
30	как будто	2	3
31	как только	2	2
32	должна быть	2	2
33	конце концов	2	2
34	по существу	2	2
35	тем более	2	2
36	литературы и	2	2
