N	2gram	Voloshinov_1	FransuaR
1	и в	15	29
2	таким образом	21	20
3	и не	16	16
4	в эпоху	3	15
5	и все	4	13
6	в этой	5	13
7	как и	6	12
8	и т.п	2	12
9	но в	9	12
10	так и	10	11
11	и на	3	11
12	в этом	13	11
13	то же	7	10
14	во время	5	10
15	как мы	10	10
16	мы уже	5	10
17	в то	6	10
18	не только	5	10
19	вовсе не	2	9
20	и образы	3	9
21	но и	4	9
22	все эти	9	9
23	и с	7	9
24	его в	8	9
25	же время	5	8
26	прежде всего	11	8
27	в его	9	8
28	и его	15	8
29	как бы	11	8
30	мы видели	5	7
31	в том	4	7
32	так как	9	7
33	в большинстве	4	6
34	этот процесс	4	6
35	что это	3	5
36	у него	3	5
37	все они	2	5
38	это не	2	5
39	до конца	5	5
40	и о	3	5
41	далеко не	4	5
42	в нем	4	5
43	в своей	9	5
44	и до	3	5
45	большинстве случаев	5	5
46	и по	5	5
47	рядом с	2	5
48	сказать что	6	5
49	он и	2	5
50	с его	8	4
51	в нашем	3	4
52	что он	8	4
53	но это	2	4
54	есть и	2	4
55	связанные с	2	4
56	еще не	7	4
57	и есть	2	4
58	и др	8	4
59	один из	4	4
60	то что	10	4
61	жизни и	5	4
62	конечно не	3	4
63	все это	5	4
64	на самом	2	4
65	с помощью	9	4
66	точки зрения	13	4
67	в узком	2	3
68	все время	4	3
69	всех этих	5	3
70	в качестве	2	3
71	в своем	2	3
72	отметить что	2	3
73	с ее	3	3
74	самого начала	5	3
75	в ее	4	3
76	все же	5	3
77	с самого	7	3
78	том что	5	3
79	в дальнейшем	2	3
80	мы можем	12	3
81	тот же	5	3
82	того что	2	3
83	той же	2	3
84	он не	4	3
85	к нему	7	3
86	при этом	7	3
87	и вот	6	3
88	и за	2	3
89	того чтобы	2	3
90	и даже	2	3
91	что значит	2	3
92	роль в	6	3
93	с ними	4	3
94	конечно и	3	3
95	в ней	5	3
96	в себе	4	3
97	в чем	4	3
98	в эту	2	3
99	в основу	2	2
100	связанных с	4	2
101	и другие	2	2
102	к этому	7	2
103	в этих	2	2
104	жизни в	3	2
105	по всему	2	2
106	большую роль	2	2
107	формы и	2	2
108	другими словами	3	2
109	в жизни	5	2
110	и со	2	2
111	но мы	2	2
112	в различных	2	2
113	к тому	4	2
114	и к	7	2
115	ни в	6	2
116	он был	3	2
117	из этого	2	2
118	и тот	2	2
119	именно в	3	2
120	мы увидим	4	2
121	на этом	5	2
122	но не	5	2
123	в себя	5	2
124	не может	13	2
125	может быть	13	2
126	наших дней	2	2
127	никогда не	7	2
128	уже не	5	2
129	половые органы	2	2
130	все те	4	2
131	дает нам	2	2
132	со стороны	2	2
133	и для	2	2
134	на этой	2	2
135	себя в	2	2
136	но эти	2	2
137	его и	2	2
138	как в	3	2
139	как раз	2	2
140	узком смысле	2	2
141	мир в	2	2
142	их нельзя	2	2
143	во второй	5	2
144	они не	2	2
145	и у	6	2
146	и наконец	10	2
147	с точки	10	2
148	между ними	2	2
149	как на	3	2
150	в своих	4	2
151	и то	2	2
152	их в	2	2
153	и при	3	2
154	в основе	3	2
155	в одной	2	2
156	только в	6	2
157	один и	2	2
158	дело в	2	2
159	так сказать	3	2
160	и этим	3	2
161	с ним	12	2
