N	2gram	Voloshinov_1	SlovoVZh
1	не может	8	16
2	точки зрения	8	14
3	может быть	17	14
4	и его	8	13
5	как бы	5	13
6	таким образом	9	12
7	и в	16	12
8	и не	4	10
9	так как	4	9
10	прежде всего	9	8
11	для нас	2	7
12	сказать что	7	7
13	в нем	4	6
14	при этом	6	6
15	с помощью	2	6
16	в том	3	6
17	только в	4	6
18	и др	3	5
19	в жизни	2	5
20	то что	3	5
21	никогда не	2	5
22	можно сказать	4	5
23	то же	2	5
24	хотя бы	4	5
25	как и	2	5
26	том что	3	5
27	отнюдь не	4	5
28	что мы	2	5
29	но в	4	5
30	и к	6	4
31	ни было	2	4
32	отношение к	5	4
33	жизни и	3	4
34	так и	4	4
35	на самом	4	4
36	что не	2	4
37	в этом	9	4
38	и на	4	4
39	его в	4	4
40	в самом	2	4
41	за пределы	2	4
42	не только	7	4
43	в них	2	3
44	не менее	2	3
45	в своей	2	3
46	сих пор	3	3
47	все это	4	3
48	на границе	2	3
49	и по	2	3
50	и вообще	2	3
51	все эти	5	3
52	но и	4	3
53	и пр	12	3
54	и наконец	4	3
55	и проч	9	3
56	ни в	5	3
57	так же	2	3
58	самом деле	6	3
59	мы не	2	3
60	и с	8	3
61	о том	2	3
62	художественного творчества	4	3
63	нуждается в	5	3
64	в каком	2	3
65	и ее	4	3
66	для него	6	3
67	до сих	3	3
68	в пределах	2	3
69	еще не	5	3
70	только на	3	3
71	и для	2	3
72	конечно не	6	3
73	с ним	2	3
74	и значение	3	2
75	с этой	2	2
76	в психике	8	2
77	но мы	4	2
78	с его	7	2
79	что и	2	2
80	в душе	2	2
81	что в	3	2
82	как не	2	2
83	вместе с	3	2
84	себя и	2	2
85	и так	2	2
86	в этих	3	2
87	между собой	2	2
88	и все	4	2
89	к этому	2	2
90	те же	3	2
91	едва ли	3	2
92	не есть	2	2
93	можем сказать	2	2
94	но зато	2	2
95	с точки	6	2
96	и притом	3	2
97	с другими	3	2
98	но отнюдь	2	2
99	но это	2	2
100	мы можем	9	2
101	могут быть	3	2
102	оно не	2	2
103	в чем	5	2
104	как это	3	2
105	к ним	2	2
106	он не	2	2
107	в основном	3	2
108	в его	4	2
109	и потому	3	2
110	между ними	3	2
