N	2gram	Medvedev_F_3	Narrotol
1	не только	9	26
2	а не	17	17
3	но и	10	15
4	в том	7	14
5	при этом	8	14
6	и не	30	14
7	том что	4	13
8	и в	27	13
9	в этом	18	13
10	только в	8	11
11	может быть	25	10
12	в данном	6	10
13	к тому	4	9
14	так и	21	9
15	сводится к	5	9
16	то что	8	8
17	в себе	3	8
18	не может	24	8
19	не в	12	8
20	никогда не	5	6
21	в своем	2	6
22	в жизни	11	6
23	прежде всего	4	6
24	можно сказать	3	6
25	того что	3	6
26	в его	7	6
27	данном случае	4	6
28	со стороны	4	6
29	жизни в	3	6
30	героя в	3	6
31	все же	6	6
32	как бы	8	6
33	ничего не	2	6
34	но в	6	6
35	место в	10	5
36	точки зрения	16	5
37	тем не	2	5
38	что он	6	5
39	в котором	2	5
40	и тем	3	5
41	в нем	15	5
42	отношению к	3	5
43	как в	4	5
44	по отношению	3	5
45	в отличие	2	5
46	таким образом	18	5
47	в той	3	5
48	с другой	6	5
49	на протяжении	2	5
50	отличие от	2	5
51	в то	7	5
52	о том	4	5
53	что это	3	4
54	не менее	7	4
55	если бы	12	4
56	отнюдь не	8	4
57	в конце	3	4
58	в литературе	6	4
59	как и	14	4
60	что в	8	4
61	не является	5	4
62	жизни и	4	4
63	в своей	6	4
64	в ее	4	4
65	то же	15	4
66	в какой	3	4
67	уже не	3	4
68	в этой	2	4
69	и все	8	4
70	как это	4	4
71	но при	2	4
72	он является	2	3
73	с его	2	3
74	тому что	3	3
75	это не	3	3
76	или иной	2	3
77	да и	4	3
78	а к	2	3
79	в слове	4	3
80	что они	5	3
81	одна из	2	3
82	но не	5	3
83	же время	7	3
84	к его	3	3
85	как раз	8	3
86	о нем	3	3
87	в целом	4	3
88	внутренней речи	2	3
89	между собой	4	3
90	все эти	6	3
91	самом деле	16	3
92	того чтобы	5	3
93	и даже	2	3
94	и для	6	3
95	и его	19	3
96	в таком	2	3
97	этом отношении	3	3
98	не следует	3	3
99	никак не	3	3
100	сказать что	3	3
101	между тем	7	3
102	действующих лиц	2	3
103	так сказать	5	3
104	дело с	3	2
105	же как	3	2
106	только не	2	2
107	однако в	2	2
108	высказывания как	3	2
109	превращается в	2	2
110	хотя бы	6	2
111	столь же	3	2
112	к другому	2	2
113	из этих	2	2
114	на фоне	3	2
115	вовсе не	28	2
116	вследствие этого	3	2
117	его смысла	4	2
118	для нас	3	2
119	и т	11	2
120	и более	3	2
121	как о	2	2
122	должна быть	3	2
123	отношения между	2	2
124	еще не	6	2
125	было бы	6	2
126	в самом	11	2
127	имеет место	3	2
128	ни для	2	2
129	но для	2	2
130	что она	2	2
131	от его	3	2
132	в него	3	2
133	не являются	2	2
134	оно не	3	2
135	и внутреннего	2	2
136	не могло	2	2
137	с таким	2	2
138	что и	2	2
139	он может	2	2
140	в процессе	15	2
141	жизни с	2	2
142	жизнью и	2	2
143	только на	4	2
144	у нас	3	2
145	те же	3	2
146	на самом	14	2
147	они не	4	2
148	и что	3	2
149	в направлении	5	2
150	важно не	2	2
151	с точки	14	2
152	так же	9	2
153	той же	3	2
154	роль в	4	2
155	мы не	4	2
156	тому как	5	2
157	но это	2	2
158	в результате	5	2
159	в ней	5	2
160	подобно тому	4	2
161	в своих	6	2
162	т п	5	2
163	говорить о	2	2
164	как он	2	2
165	героя и	2	2
166	здесь не	2	2
167	бы в	6	2
168	потому что	7	2
169	в области	2	2
170	к которому	2	2
171	том как	2	2
