N	2gram	Propp_Russ_1	Hudozhes
1	в качестве	3	19
2	то есть	3	18
3	состоит в	8	16
4	и не	6	16
5	в том	17	15
6	и в	36	15
7	не только	22	15
8	в частности	2	13
9	может быть	8	13
10	тогда как	2	13
11	при этом	6	12
12	а в	9	12
13	но не	2	11
14	в этом	12	11
15	представляет собой	4	10
16	как бы	5	10
17	но и	16	10
18	так и	7	10
19	то же	3	10
20	а не	2	10
21	в его	2	9
22	точки зрения	3	9
23	своего рода	3	8
24	но в	2	7
25	что в	19	6
26	том что	19	6
27	приводит к	3	6
28	не может	4	6
29	могут быть	2	5
30	а также	3	5
31	только в	4	5
32	того что	4	5
33	в нем	2	5
34	то что	6	5
35	в их	4	5
36	уже не	6	5
37	в этих	3	4
38	к тому	4	4
39	и как	2	4
40	еще не	4	4
41	например в	2	4
42	хотя и	2	4
43	входит в	4	4
44	между тем	7	4
45	мы имеем	4	4
46	как это	8	4
47	не менее	3	3
48	это не	10	3
49	как уже	4	3
50	и к	3	3
51	тем не	3	3
52	в свою	3	3
53	о чем	3	3
54	имеет место	2	3
55	далеко не	3	3
56	в целом	2	3
57	так в	4	3
58	не на	2	3
59	таким образом	6	3
60	как и	10	3
61	и что	4	3
62	с точки	3	3
63	и для	2	3
64	не случайно	2	3
65	их в	3	3
66	потому что	10	3
67	как правило	3	3
68	в области	3	3
69	слова в	3	2
70	на этом	3	2
71	и более	2	2
72	себя и	2	2
73	в нашем	2	2
74	тому что	4	2
75	в своем	3	2
76	в них	6	2
77	в одном	3	2
78	об этом	9	2
79	равной степени	2	2
80	одна из	4	2
81	свою очередь	2	2
82	встречаются в	2	2
83	несмотря на	3	2
84	во всех	4	2
85	и потому	2	2
86	к жизни	3	2
87	и др	4	2
88	но она	2	2
89	как в	5	2
90	а с	4	2
91	все эти	2	2
92	в году	2	2
93	и некоторые	3	2
94	и по	8	2
95	или в	2	2
96	к другому	2	2
97	так же	3	2
98	с ним	2	2
99	и на	10	2
100	в силу	2	2
101	между двумя	2	2
102	у него	2	2
103	одно из	5	2
104	начиная с	3	2
105	в равной	2	2
106	о том	8	2
