N	3gram	Vinokur_St_3	Myshleni
1	с точки зрения	4	18
2	в том что	11	15
3	с другой стороны	4	9
4	с самого начала	2	8
5	с одной стороны	2	8
6	о том что	4	6
7	заключается в том	2	6
8	в то время	4	5
9	не может быть	5	5
10	в этом отношении	4	4
11	до сих пор	2	4
12	то время как	4	4
13	к тому что	2	3
14	на то что	3	3
15	во всяком случае	4	3
16	в том чтобы	2	3
17	независимо от того	2	2
18	в то же	3	2
19	а с другой	2	2
20	то же время	3	2
21	все более и	2	2
22	прежде всего в	3	2
23	только тогда когда	2	2
24	более и более	2	2
