N	2gram	Bakhtin_KF_1	Myshleni
1	в том	6	28
2	и в	24	28
3	то что	7	28
4	в этом	14	27
5	того что	3	24
6	потому что	2	22
7	не может	27	19
8	том что	4	19
9	что он	2	18
10	только в	16	18
11	что в	4	17
12	не только	5	16
13	может быть	45	13
14	точки зрения	12	13
15	тому что	2	11
16	и не	26	11
17	как бы	9	11
18	но и	9	10
19	от того	3	10
20	по отношению	26	10
21	но не	12	10
22	отношению к	22	10
23	того чтобы	2	10
24	с точки	9	10
25	было бы	8	9
26	в процессе	2	9
27	никогда не	5	8
28	еще не	4	8
29	тем самым	4	8
30	для того	3	8
31	тем что	3	8
32	если бы	8	7
33	в нем	28	7
34	в своем	16	7
35	мышления и	2	7
36	и других	2	7
37	отношение к	5	7
38	он не	6	7
39	то же	5	7
40	там где	5	7
41	и как	2	6
42	для него	8	6
43	не имеет	5	6
44	в то	3	6
45	тогда когда	3	6
46	его в	5	6
47	как и	5	6
48	так и	2	6
49	мы не	3	6
50	в чем	4	6
51	в области	2	6
52	это не	10	5
53	вопрос о	2	5
54	и тем	3	5
55	и на	3	5
56	и все	7	5
57	но в	5	5
58	с тем	2	5
59	могут быть	3	5
60	в этой	2	5
61	я не	6	4
62	именно в	5	4
63	не в	12	4
64	на основе	7	4
65	мы имеем	5	4
66	в сознании	2	4
67	ясно что	3	4
68	в качестве	2	4
69	оно не	2	4
70	что и	7	4
71	во всех	11	4
72	если я	2	4
73	и того	2	4
74	только по	2	4
75	и то	2	4
76	в себе	21	4
77	независимо от	3	3
78	оба эти	2	3
79	в каждом	3	3
80	а по	2	3
81	это есть	2	3
82	до конца	3	3
83	при этом	4	3
84	в целом	10	3
85	в их	8	3
86	и только	6	3
87	в своих	3	3
88	в основе	5	3
89	и здесь	7	3
90	но как	5	3
91	а это	2	3
92	от этого	2	3
93	по себе	2	3
94	и отношения	2	3
95	это и	2	3
96	не по	4	3
97	один из	2	3
98	в его	40	3
99	как в	2	3
100	в себя	7	3
101	а не	17	3
102	и его	17	3
103	не знает	5	3
104	чего не	2	3
105	и т.д	2	3
106	отношении к	2	3
107	как оно	2	3
108	не менее	3	2
109	для этого	2	2
110	прежде всего	2	2
111	к которой	2	2
112	для нас	4	2
113	слово не	3	2
114	но это	6	2
115	самом деле	3	2
116	всякий предмет	2	2
117	себе и	3	2
118	в котором	24	2
119	этот факт	2	2
120	все это	10	2
121	он имеет	2	2
122	все эти	10	2
123	не из	2	2
124	с ними	3	2
125	от него	3	2
126	с ним	5	2
127	он может	2	2
128	были бы	2	2
129	раз и	2	2
130	в одном	4	2
131	этом смысле	3	2
132	по своему	3	2
133	мышления как	2	2
134	в своей	10	2
135	этого слова	2	2
136	все же	5	2
137	дело с	2	2
138	а в	4	2
139	бы оно	2	2
140	в данном	2	2
141	что я	5	2
142	в другом	3	2
143	что эта	2	2
