N	2gram	Tiupa_Narr_1	Myslijsy
1	то есть	19	30
2	и в	19	24
3	может быть	25	23
4	то что	11	20
5	и не	20	19
6	а не	12	18
7	в том	18	18
8	что в	3	16
9	по себе	5	15
10	не только	32	15
11	при этом	9	13
12	было бы	4	13
13	не в	14	13
14	но не	5	12
15	не может	10	12
16	то же	4	12
17	что мы	2	11
18	только в	4	11
19	для него	2	10
20	в себе	8	10
21	как в	7	10
22	тогда как	12	10
23	независимо от	2	9
24	точно так	2	9
25	в нем	4	9
26	как бы	4	9
27	но и	23	9
28	а в	11	8
29	том что	14	8
30	более или	2	8
31	или менее	2	8
32	и на	3	8
33	в этом	17	8
34	могут быть	3	8
35	быть может	2	7
36	прежде всего	4	7
37	сами по	2	7
38	зрения и	2	7
39	как и	7	7
40	тем что	3	7
41	связи с	4	6
42	с другой	8	6
43	не есть	3	6
44	и как	5	6
45	свою очередь	3	6
46	в свою	3	6
47	тем не	3	6
48	не было	2	6
49	не имеет	2	6
50	между тем	3	6
51	между двумя	5	6
52	в то	3	6
53	этого слова	2	6
54	и только	2	6
55	уже в	3	5
56	не менее	3	5
57	столь же	3	5
58	же в	4	5
59	что они	3	5
60	в памяти	2	5
61	не от	2	5
62	что не	4	5
63	о том	6	5
64	так и	9	5
65	бы не	2	5
66	из них	3	5
67	все же	7	5
68	никогда не	3	4
69	из этих	3	4
70	что он	6	4
71	уже не	5	4
72	одна из	3	4
73	еще не	7	4
74	как кажется	2	4
75	с одной	7	4
76	если не	4	4
77	тем самым	6	4
78	к другому	2	4
79	в таком	2	4
80	тому как	2	4
81	подобно тому	2	4
82	они не	2	4
83	себе не	2	4
84	но в	6	4
85	с чем	2	3
86	что это	3	3
87	это не	2	3
88	оно не	2	3
89	не как	2	3
90	и все	2	3
91	хотя и	3	3
92	что на	2	3
93	ни было	3	3
94	одной стороны	7	3
95	например в	2	3
96	мог бы	3	3
97	вслед за	4	3
98	в ней	3	3
99	если в	3	3
100	его в	2	3
101	и тем	4	3
102	не с	3	3
103	на него	3	3
104	со стороны	9	3
105	языка и	2	3
106	те же	4	3
107	человека в	2	3
108	и для	2	3
109	бы быть	3	3
110	от одного	2	3
111	одно из	2	3
112	далеко не	5	3
113	таком случае	2	2
114	и его	5	2
115	что у	2	2
116	в какой	2	2
117	хотя бы	4	2
118	не столько	4	2
119	в пространстве	4	2
120	между ними	2	2
121	состоит в	13	2
122	зависит от	2	2
123	в собственном	2	2
124	с его	6	2
125	но все	4	2
126	все эти	2	2
127	есть в	2	2
128	так же	2	2
129	на другой	2	2
130	у него	4	2
131	же время	4	2
132	было в	2	2
133	и тот	2	2
134	имеет место	4	2
135	в его	9	2
136	и потому	2	2
137	себя и	2	2
138	не все	5	2
139	один из	3	2
140	нами не	2	2
141	во времени	8	2
142	другой стороны	4	2
143	в связи	2	2
144	а с	3	2
145	в себя	6	2
146	самом деле	2	2
147	к другой	2	2
148	отношения к	2	2
149	как это	6	2
150	или в	2	2
151	по отношению	7	2
152	сказать что	4	2
153	не на	2	2
154	не то	2	2
155	к которому	2	2
156	когда мы	2	2
157	оно может	2	2
158	что нет	2	2
