N	2gram	Medvedev_U_1	Myshleni
1	то что	7	26
2	что он	2	25
3	в этом	7	25
4	таким образом	2	19
5	в том	2	18
6	не может	7	18
7	и в	14	16
8	не только	10	16
9	том что	2	15
10	и не	8	12
11	в области	3	12
12	в его	2	11
13	но не	2	10
14	было бы	3	10
15	а не	10	10
16	только в	2	10
17	может быть	6	9
18	если бы	2	8
19	как и	3	8
20	то же	5	8
21	по себе	2	7
22	что все	2	6
23	не в	2	6
24	в этой	4	6
25	но и	4	6
26	могли бы	2	6
27	но в	3	6
28	должна быть	2	5
29	мы и	2	5
30	для него	3	5
31	хотя бы	5	5
32	этом отношении	2	5
33	в то	3	5
34	тем что	2	5
35	ничего не	2	5
36	не могут	2	4
37	с другой	4	4
38	это не	3	4
39	в самом	2	4
40	в системе	2	4
41	что мы	2	4
42	же самое	2	4
43	не есть	2	4
44	и то	3	4
45	могут быть	2	4
46	и т.д	3	4
47	в частности	3	3
48	прежде всего	8	3
49	но это	2	3
50	самом деле	2	3
51	и является	2	3
52	его и	2	3
53	в их	4	3
54	и с	2	3
55	между тем	2	3
56	мы не	2	3
57	все же	3	3
58	по существу	2	3
59	что и	2	3
60	сих пор	2	3
61	вот почему	7	3
62	вопроса о	2	3
63	до сих	2	3
64	очевидно что	3	2
65	одним из	2	2
66	в своей	3	2
67	что она	2	2
68	все это	5	2
69	другой стороны	3	2
70	о чем	2	2
71	их и	2	2
72	у нас	3	2
73	только к	3	2
74	с проблемой	2	2
