N	2gram	Bakhtin_Fr_7	formyVre
1	и в	41	46
2	в этом	15	22
3	у рабле	18	18
4	прежде всего	11	14
5	кн ii	2	14
6	вовсе не	7	13
7	в романе	7	13
8	ii гл	3	12
9	человеческого тела	7	12
10	и его	9	12
11	рабле в	5	11
12	только в	6	11
13	смерти в	3	11
14	не только	5	11
15	во всех	3	11
16	во время	3	10
17	в том	11	10
18	как бы	7	10
19	точки зрения	5	10
20	то есть	20	10
21	но в	8	10
22	у него	6	9
23	не в	9	9
24	мы уже	12	9
25	мира и	4	9
26	вместе с	5	9
27	но и	9	9
28	и не	7	9
29	и для	5	9
30	в связи	2	8
31	как и	14	8
32	в его	12	8
33	жизни и	3	8
34	то же	13	8
35	с точки	3	8
36	потому что	5	8
37	из них	3	8
38	в них	7	7
39	в главе	3	7
40	в одном	3	7
41	может быть	4	7
42	то что	8	7
43	четвертой книги	2	7
44	так и	10	7
45	в эпизоде	5	7
46	и на	4	7
47	так сказать	3	7
48	никогда не	2	6
49	и времени	2	6
50	и во	2	6
51	и все	14	6
52	при этом	3	6
53	как мы	11	6
54	еще не	2	6
55	его в	3	6
56	все это	10	6
57	человеческое тело	3	6
58	в особенности	2	6
59	человека в	2	6
60	и наконец	4	6
61	так как	3	6
62	и с	4	6
63	романе рабле	6	5
64	от смеха	3	5
65	в своем	9	5
66	с этим	2	5
67	рабле не	5	5
68	связанные с	3	5
69	по существу	8	5
70	в то	10	5
71	он не	4	5
72	и др	2	5
73	в нем	7	5
74	что в	9	5
75	все эти	13	5
76	и у	5	5
77	должно быть	4	5
78	рабле и	9	5
79	романа рабле	4	5
80	умер от	2	4
81	место в	4	4
82	уже в	5	4
83	характер носит	2	4
84	в образе	4	4
85	же время	9	4
86	с ним	2	4
87	пространстве и	3	4
88	тела в	3	4
89	же в	2	4
90	том что	4	4
91	есть и	3	4
92	загробном мире	2	4
93	уже говорили	4	4
94	в мире	3	4
95	эпизоде с	5	4
96	и их	3	4
97	как в	5	4
98	в эпоху	7	4
99	iii гл	4	4
100	еще более	2	4
101	кн iii	4	4
102	а не	2	4
103	также и	2	4
104	их в	2	4
105	в себе	11	4
106	о том	6	4
107	все его	3	4
108	том числе	4	3
109	не было	3	3
110	в средние	4	3
111	связанных с	3	3
112	все они	6	3
113	того же	3	3
114	игра с	3	3
115	та же	4	3
116	а следовательно	2	3
117	к этому	5	3
118	переходим к	2	3
119	с помощью	6	3
120	к тому	2	3
121	что он	3	3
122	следовательно и	2	3
123	и как	2	3
124	образ смерти	2	3
125	в качестве	9	3
126	в большинстве	2	3
127	для него	6	3
128	кроме того	3	3
129	тот же	2	3
130	том как	2	3
131	в это	3	3
132	средние века	4	3
133	новой жизни	2	3
134	в реальном	2	3
135	хотя и	4	3
136	а также	2	3
137	точка зрения	2	3
138	в гротескном	3	3
139	что и	5	3
140	отношение к	2	3
141	всего в	5	3
142	в форме	3	3
143	во времени	2	3
144	целый ряд	4	3
145	не на	3	3
146	и другие	3	3
147	таким образом	19	3
148	в их	3	3
149	уже не	2	3
150	при виде	4	3
151	того что	2	3
152	и по	3	3
153	а в	5	3
154	роль в	2	3
155	жизнь и	2	3
156	в которых	2	3
157	тем что	3	3
158	имеем в	2	3
159	в этих	2	3
160	большинстве случаев	2	3
161	исторического времени	2	3
162	в виду	4	3
163	мира в	4	3
164	из самых	3	2
165	на этом	5	2
166	для рабле	2	2
167	на небе	2	2
168	по своему	2	2
169	и есть	3	2
170	числе и	2	2
171	и образов	2	2
172	характерно что	2	2
173	и других	2	2
174	это не	6	2
175	и так	2	2
176	в одной	2	2
177	что все	2	2
178	одном из	4	2
179	времени он	2	2
180	очень часто	3	2
181	картина мира	2	2
182	виде осла	2	2
183	в историческом	2	2
184	влияние на	4	2
185	в отношении	3	2
186	он был	3	2
187	не мог	2	2
188	именно в	2	2
189	мы видим	6	2
190	в этой	13	2
191	совсем не	3	2
192	особое значение	2	2
193	во все	2	2
194	явления и	2	2
195	а на	2	2
196	все что	4	2
197	всего романа	2	2
198	до конца	2	2
199	было бы	4	2
200	со всеми	2	2
201	отсюда и	2	2
202	картины мира	4	2
203	и к	5	2
204	в сущности	4	2
205	в елисейских	5	2
206	рабле дает	3	2
207	в заключение	2	2
208	и потому	3	2
209	явлений и	2	2
210	эти образы	2	2
211	мы видели	5	2
212	на землю	2	2
213	и до	6	2
214	находится в	2	2
215	и т.п	9	2
216	задний проход	2	2
217	не может	3	2
218	елисейских полях	5	2
219	на земле	4	2
220	этом отношении	2	2
221	в себя	2	2
222	и вот	2	2
223	в той	3	2
224	рабле мы	2	2
225	о загробном	4	2
226	и всегда	2	2
227	так же	5	2
228	особенно в	2	2
229	рядом с	4	2
230	представлений о	2	2
231	у них	2	2
232	божественной бутылки	5	2
233	в данном	2	2
234	но это	3	2
235	от этого	3	2
236	и от	8	2
237	мы имеем	2	2
238	но он	4	2
239	развития человечества	2	2
240	в литературе	2	2
241	и самая	2	2
242	ту же	2	2
243	не знает	3	2
244	рабле но	5	2
245	которой он	2	2
246	далеко не	2	2
247	в конце	8	2
248	как он	2	2
249	и это	5	2
250	пространства и	2	2
251	во всяком	2	2
252	оно было	2	2
