N	2gram	Bakhtin_fo_1	Komedia
1	и в	50	22
2	том что	4	12
3	в том	9	11
4	но и	8	11
5	не только	9	10
6	в то	9	10
7	как и	8	9
8	и т	8	9
9	может быть	11	9
10	в одном	3	8
11	таким образом	11	8
12	и не	14	8
13	и его	16	8
14	и других	3	7
15	что в	5	6
16	в отношении	3	6
17	в конце	9	6
18	к тому	3	6
19	ни в	8	6
20	тому же	2	6
21	и по	2	6
22	то же	11	6
23	не в	5	6
24	а в	3	6
25	в которой	2	6
26	уже в	2	5
27	с другой	2	5
28	прежде всего	15	5
29	при этом	3	5
30	мы встречаем	2	5
31	в его	13	5
32	один из	3	5
33	в истории	2	5
34	так и	12	5
35	как в	6	5
36	до нас	5	5
37	все это	4	5
38	то время	4	5
39	и даже	2	5
40	потому что	4	5
41	т п	8	5
42	именно в	3	4
43	в их	6	4
44	к этому	3	4
45	ясно что	2	4
46	как мы	14	4
47	же в	3	4
48	в качестве	3	4
49	же время	9	4
50	а также	2	4
51	в котором	4	4
52	в нем	24	4
53	что и	3	4
54	тем что	2	4
55	время как	5	4
56	в результате	6	4
57	точки зрения	5	4
58	так как	6	4
59	но в	10	4
60	место в	2	3
61	же как	2	3
62	в них	4	3
63	в образе	5	3
64	вопрос о	2	3
65	и как	10	3
66	их к	2	3
67	здесь в	2	3
68	одной стороны	2	3
69	одной из	3	3
70	в начале	3	3
71	и у	5	3
72	в частности	6	3
73	у него	6	3
74	да и	3	3
75	хотя и	3	3
76	он не	5	3
77	все же	6	3
78	отношению к	5	3
79	в честь	2	3
80	в целом	2	3
81	отношение к	2	3
82	так же	6	3
83	по отношению	3	3
84	этом отношении	3	3
85	с одной	3	3
86	в течение	2	3
87	мы не	3	3
88	как раз	13	3
89	и на	8	3
90	в более	2	3
91	в этом	25	3
92	и с	4	3
93	могут быть	5	3
94	и ее	3	3
95	и еще	2	3
96	только в	4	3
97	и все	6	3
98	его в	3	3
99	в чем	2	3
100	ничего не	9	3
101	времени и	10	2
102	еще и	2	2
103	для них	3	2
104	для всех	2	2
105	были в	2	2
106	здесь и	2	2
107	и во	7	2
108	они с	2	2
109	вовсе не	13	2
110	в свою	2	2
111	раз в	4	2
112	одна из	2	2
113	но не	5	2
114	совсем не	2	2
115	того же	8	2
116	время и	4	2
117	до конца	4	2
118	до сих	3	2
119	еще не	5	2
120	было бы	2	2
121	со своей	3	2
122	нашей эры	2	2
123	в самом	8	2
124	в новое	3	2
125	для себя	7	2
126	см например	2	2
127	с ее	6	2
128	то что	6	2
129	не к	2	2
130	наряду с	5	2
131	вместе с	3	2
132	ее в	2	2
133	как по	2	2
134	всего этого	2	2
135	даже не	2	2
136	в сущности	3	2
137	не может	6	2
138	в других	9	2
139	принадлежит к	2	2
140	а мы	2	2
141	в форме	3	2
142	или в	3	2
143	нас в	3	2
144	в трагедии	2	2
145	во всяком	3	2
146	к ней	2	2
147	но он	2	2
148	на себя	2	2
149	это время	7	2
150	в себе	3	2
151	ту же	2	2
152	если они	2	2
153	тех же	2	2
154	отличие от	2	2
155	была уже	2	2
156	сих пор	3	2
