N	2gram	Medvedev_F_1	Vladivir
1	и в	24	40
2	то что	8	28
3	и не	20	25
4	не только	7	25
5	учение о	4	24
6	но и	7	18
7	в том	6	18
8	что в	4	17
9	в этом	15	16
10	в его	23	14
11	не может	16	14
12	точки зрения	16	13
13	вовсе не	10	13
14	только в	2	13
15	даже и	2	12
16	никогда не	4	11
17	таким образом	13	11
18	прежде всего	22	10
19	ни в	2	10
20	и потому	9	10
21	не есть	2	10
22	как раз	2	10
23	в году	2	10
24	и его	10	10
25	не менее	11	9
26	уже не	2	9
27	и с	8	9
28	в своей	11	9
29	в себе	3	9
30	в своем	11	8
31	в этой	6	8
32	для него	3	8
33	может быть	14	8
34	так же	4	8
35	и что	2	8
36	раз и	2	8
37	он не	3	8
38	как мы	5	8
39	а не	10	8
40	к тому	3	7
41	а только	2	7
42	и как	3	7
43	и если	2	7
44	а в	6	7
45	в своих	2	7
46	с тем	2	7
47	того что	5	7
48	в то	9	7
49	что и	2	7
50	вместе с	2	7
51	как и	11	7
52	и здесь	6	6
53	и даже	3	6
54	и на	8	6
55	и от	7	6
56	по себе	5	6
57	во всем	2	6
58	так и	18	6
59	хотя бы	5	6
60	с точки	13	6
61	но это	3	6
62	и это	2	6
63	с другой	5	5
64	должно быть	11	5
65	отношения к	6	5
66	в отношении	3	5
67	не было	3	5
68	все эти	6	5
69	только и	4	5
70	в ней	10	5
71	в истории	4	5
72	отнюдь не	6	5
73	в одном	2	5
74	что он	3	5
75	у нас	5	5
76	еще в	2	5
77	или менее	6	5
78	только на	5	5
79	более или	6	5
80	ничего не	2	5
81	вопрос о	2	4
82	до конца	7	4
83	в самом	5	4
84	от того	2	4
85	она была	2	4
86	в результате	2	4
87	как это	6	4
88	и все	6	4
89	не с	2	4
90	оно должно	3	4
91	по существу	2	4
92	но не	3	4
93	здесь в	2	4
94	указать на	2	4
95	еще не	6	4
96	было бы	6	4
97	в основном	3	4
98	то же	10	4
99	если мы	2	4
100	учения о	2	4
101	все же	3	4
102	но в	5	4
103	же как	2	3
104	независимо от	4	3
105	то ни	3	3
106	что бы	5	3
107	это не	2	3
108	но все	2	3
109	одной стороны	4	3
110	при этом	5	3
111	но для	3	3
112	как бы	6	3
113	всяком случае	4	3
114	в настоящее	10	3
115	в нем	14	3
116	мы видели	2	3
117	бы то	3	3
118	отличается от	3	3
119	в связи	4	3
120	с одной	4	3
121	именно в	8	3
122	не так	2	3
123	как на	4	3
124	настоящее время	10	3
125	сводится к	3	3
126	в россии	3	3
127	нисколько не	2	3
128	если бы	4	3
129	и слишком	2	3
130	же в	3	3
131	и чисто	2	3
132	за пределы	2	3
133	вполне понятно	2	3
134	оно не	4	3
135	на самом	7	3
136	не в	8	3
137	жизнь и	3	3
138	во всяком	4	3
139	здесь не	3	3
140	должна быть	7	2
141	она должна	3	2
142	в нашем	2	2
143	с этой	4	2
144	во что	2	2
145	является для	2	2
146	это последнее	3	2
147	же время	8	2
148	не можем	2	2
149	ни стало	2	2
150	и наконец	3	2
151	не о	3	2
152	в целом	6	2
153	в их	11	2
154	друг друга	4	2
155	ни на	3	2
156	его в	3	2
157	бы в	3	2
158	к этой	4	2
159	могло бы	2	2
160	с его	4	2
161	и более	2	2
162	не как	4	2
163	с этим	2	2
164	в жизни	3	2
165	стороны и	4	2
166	и к	4	2
167	остановиться на	2	2
168	она не	6	2
169	одной из	2	2
170	на почве	13	2
171	со стороны	5	2
172	в мире	4	2
173	быть и	4	2
174	на него	2	2
175	не на	2	2
176	тем самым	3	2
177	мы не	3	2
178	или иначе	2	2
179	от этого	2	2
180	связи с	3	2
181	в которой	4	2
182	как с	2	2
