N	2gram	Nazirov_Tr_1	Otkroven
1	у него	6	22
2	у достоевского	5	19
3	и в	18	19
4	но и	4	13
5	и не	7	13
6	в этом	9	12
7	не в	2	11
8	может быть	7	11
9	не только	8	11
10	и все	4	10
11	вопрос о	2	10
12	в нем	4	10
13	никогда не	2	9
14	потому что	2	9
15	прежде всего	4	9
16	и он	3	8
17	он был	2	8
18	он всегда	4	7
19	до конца	2	7
20	ивана карамазова	2	7
21	он не	2	7
22	в его	3	7
23	все это	4	6
24	как и	5	6
25	человеческой личности	2	6
26	то что	4	5
27	отношение к	2	5
28	о его	2	5
29	в том	2	5
30	для достоевского	2	5
31	для него	3	5
32	в этой	4	5
33	в самом	2	5
34	с его	2	4
35	в преступлении	2	4
36	он сам	7	4
37	в самую	2	4
38	и его	6	4
39	все эти	3	4
40	достоевский не	4	4
41	не может	5	4
42	что в	4	4
43	записках из	3	3
44	к нему	3	3
45	достоевского в	3	3
46	не могут	2	3
47	и наказании	2	3
48	преступлении и	2	3
49	романах достоевского	2	3
50	это не	5	3
51	что он	6	3
52	и великий	2	3
53	еще не	4	3
54	и ее	2	3
55	в бесах	9	3
56	в себе	4	3
57	никто не	3	3
58	о том	2	3
59	с ним	3	3
60	в записках	2	3
61	как бы	7	3
62	уже в	3	2
63	все же	5	2
64	что и	2	2
65	в душе	2	2
66	с тем	2	2
67	так и	5	2
68	в своем	3	2
69	зла в	2	2
70	что все	2	2
71	не имеет	2	2
72	должно быть	3	2
73	в ее	2	2
74	том что	4	2
75	так что	2	2
76	мертвого дома	2	2
77	и на	7	2
78	и то	2	2
79	и с	7	2
80	тем что	2	2
81	личности и	2	2
82	что достоевский	4	2
83	его в	2	2
84	ничего не	2	2
85	но в	6	2
86	из мертвого	2	2
