N	2gram	Tiupa_Narr_1	Komedia
1	и в	11	22
2	том что	7	12
3	в том	8	11
4	но и	27	11
5	не только	31	10
6	из них	4	10
7	в то	4	10
8	как и	13	9
9	может быть	15	9
10	в одном	4	8
11	и не	23	8
12	и его	10	8
13	о том	4	8
14	едва ли	3	7
15	в этой	6	7
16	что в	3	6
17	в конце	2	6
18	одного из	6	6
19	что он	3	6
20	к тому	6	6
21	тому же	6	6
22	такого рода	10	6
23	то же	8	6
24	не в	6	6
25	а в	13	6
26	с другой	2	5
27	прежде всего	4	5
28	при этом	19	5
29	в его	6	5
30	еще в	3	5
31	один из	6	5
32	так и	5	5
33	как в	4	5
34	другой стороны	2	5
35	и даже	2	5
36	потому что	5	5
37	между тем	3	5
38	именно в	3	4
39	как мы	2	4
40	же в	2	4
41	на протяжении	7	4
42	в качестве	14	4
43	же время	4	4
44	а также	6	4
45	в нем	4	4
46	так в	4	4
47	и вот	2	4
48	в результате	2	4
49	действующих лиц	5	4
50	точки зрения	5	4
51	ли не	2	4
52	но в	7	4
53	мы можем	2	4
54	после смерти	2	3
55	казалось бы	2	3
56	не менее	3	3
57	однако в	3	3
58	идет о	3	3
59	на то	2	3
60	у нас	3	3
61	и как	3	3
62	по своему	2	3
63	в начале	3	3
64	в частности	14	3
65	и о	3	3
66	у него	7	3
67	да и	2	3
68	хотя и	4	3
69	он не	3	3
70	речь идет	3	3
71	все же	4	3
72	отношению к	3	3
73	в целом	3	3
74	по отношению	3	3
75	этом отношении	3	3
76	в году	2	3
77	не мог	6	3
78	мы не	3	3
79	как раз	6	3
80	каждый из	2	3
81	и на	5	3
82	в этом	12	3
83	и с	3	3
84	и ее	3	3
85	и еще	2	3
86	только в	12	3
87	как правило	5	3
88	и все	3	3
89	в чем	2	3
90	как это	3	3
91	ничего не	2	3
92	в сознании	4	3
93	в известном	2	2
94	времени и	9	2
95	для них	2	2
96	столь же	5	2
97	в свою	2	2
98	точек зрения	2	2
99	тем не	3	2
100	раз в	2	2
101	одна из	4	2
102	но не	4	2
103	как известно	3	2
104	до конца	2	2
105	до сих	2	2
106	еще не	4	2
107	в самом	6	2
108	и самого	2	2
109	всяком случае	2	2
110	на две	2	2
111	и тем	4	2
112	с ее	2	2
113	то что	9	2
114	в первой	2	2
115	вместе с	2	2
116	все что	2	2
117	со стороны	8	2
118	который в	2	2
119	только что	2	2
120	в сущности	2	2
121	не может	8	2
122	что у	4	2
123	в форме	2	2
124	в принципе	4	2
125	и притом	2	2
126	к нему	4	2
127	или в	6	2
128	нас в	2	2
129	во всяком	2	2
130	что касается	2	2
131	на себя	4	2
132	в себе	6	2
133	в финале	3	2
134	как будто	3	2
135	же самое	2	2
136	отличие от	2	2
137	из наиболее	4	2
138	в области	2	2
139	сих пор	2	2
