N	2gram	Berdyaev_N_1	Psycholo
1	то что	4	44
2	и в	16	33
3	в этом	7	28
4	и что	2	25
5	все время	2	24
6	потому что	4	24
7	может быть	7	22
8	том что	2	22
9	того чтобы	2	22
10	что в	9	21
11	в том	8	21
12	о том	4	20
13	и мы	4	15
14	как это	2	14
15	и не	11	13
16	так же	2	13
17	сказать что	3	13
18	все это	5	13
19	к тому	3	12
20	и все	4	12
21	что все	2	11
22	он не	8	11
23	что она	2	10
24	не может	16	10
25	для этого	2	8
26	вместе с	2	8
27	как будто	2	8
28	в нем	5	7
29	не только	5	7
30	это не	4	6
31	в ней	5	6
32	все эти	2	6
33	когда мы	2	6
34	у него	2	6
35	а не	17	6
36	в себе	2	6
37	никогда не	6	5
38	мы не	2	5
39	и на	2	5
40	с этим	2	5
41	это и	2	5
42	как и	7	5
43	и это	2	5
44	я не	2	4
45	и есть	10	4
46	том чтобы	2	4
47	жизни и	8	4
48	для чего	2	4
49	а в	2	4
50	с тем	3	4
51	в жизни	5	4
52	одна из	2	4
53	себя в	2	4
54	не будет	7	4
55	в своей	3	4
56	можно было	2	4
57	это было	3	4
58	же как	2	3
59	с одной	2	3
60	в мире	3	3
61	ни в	6	3
62	должно быть	4	3
63	одной стороны	2	3
64	с ее	5	3
65	но и	3	3
66	конечно не	3	3
67	не было	4	3
68	в то	2	3
69	в основе	3	3
70	но не	2	3
71	ли это	2	3
72	она не	3	3
73	так и	2	3
74	как в	3	3
75	и для	4	3
76	место в	2	2
77	с другой	3	2
78	и от	2	2
79	прежде всего	4	2
80	вопрос о	3	2
81	такой же	2	2
82	времени и	2	2
83	все они	2	2
84	другой стороны	2	2
85	не имеет	4	2
86	время как	2	2
87	и формы	2	2
88	и с	2	2
89	переход к	2	2
90	не в	6	2
91	и потому	4	2
92	но в	2	2
93	с его	6	2
94	в них	4	2
95	думать что	2	2
96	и к	5	2
97	в ее	3	2
98	по существу	2	2
99	силы и	2	2
100	во всех	3	2
101	должно было	2	2
102	нем нет	2	2
103	перейти к	3	2
104	хотя бы	2	2
105	тому как	3	2
