N	3gram	Losev_Prob_3	VeschiIm
1	и т д	13	20
2	не может быть	5	18
3	это значит что	2	17
4	бы то ни	4	9
5	то ни было	3	9
6	и больше ничего	2	9
7	не что иное	4	8
8	что иное как	4	8
9	т д и	4	7
10	д и т	4	7
11	по крайней мере	5	6
12	в том что	9	6
13	не есть ни	3	6
14	одно и то	3	5
15	тем не менее	10	5
16	есть не что	4	5
17	содержит в себе	3	5
18	и то же	4	5
19	не только в	2	4
20	с точки зрения	2	4
21	в то же	4	4
22	и то что	7	4
23	не есть просто	2	4
24	то что является	2	4
25	можно было бы	3	3
26	само по себе	3	3
27	сама по себе	8	3
28	если мы возьмем	2	3
29	только то что	2	3
30	сам по себе	6	3
31	что же такое	3	2
32	дело в том	3	2
33	никакого отношения к	3	2
34	но даже и	4	2
35	этой точки зрения	2	2
36	можно сказать что	2	2
37	в данном случае	7	2
38	ни о каком	2	2
39	то это значит	2	2
40	и в частности	2	2
41	о том как	2	2
42	ничто не мешает	2	2
43	уже не есть	3	2
44	мы находим в	2	2
45	заключается в том	3	2
