N	2gram	Medvedev_F_3	TeoriaLi
1	не только	9	18
2	и не	30	16
3	и в	27	13
4	может быть	25	12
5	так и	21	12
6	при этом	8	11
7	в этом	18	11
8	в том	7	11
9	но не	5	10
10	а не	17	10
11	и его	19	10
12	в его	7	9
13	то же	15	9
14	сводится к	5	8
15	что в	8	8
16	отношению к	3	8
17	но и	10	8
18	по отношению	3	8
19	в себе	3	7
20	том что	4	7
21	в отличие	2	7
22	в данном	6	7
23	точки зрения	16	7
24	в то	7	7
25	только в	8	7
26	как это	4	7
27	отличие от	2	7
28	место в	10	6
29	с его	2	6
30	же время	7	6
31	еще не	6	6
32	лишь в	9	6
33	как бы	8	6
34	но в	6	6
35	однако в	2	5
36	в своем	2	5
37	или иной	2	5
38	в ее	4	5
39	как и	14	5
40	не в	12	5
41	в пределах	8	5
42	между ними	15	5
43	в самом	11	5
44	в нем	15	5
45	данном случае	4	5
46	как в	4	5
47	уже не	3	5
48	с другой	6	5
49	между тем	7	5
50	в искусстве	7	5
51	героя и	2	5
52	художественного восприятия	2	4
53	не менее	7	4
54	можно сказать	3	4
55	ни в	8	4
56	в своей	6	4
57	то что	8	4
58	литературного произведения	4	4
59	не может	24	4
60	в слове	4	4
61	сказать что	3	4
62	и ее	6	4
63	а и	3	4
64	говорить о	2	4
65	художественного творчества	2	3
66	и др	2	3
67	никогда не	5	3
68	в этих	3	3
69	в отношении	2	3
70	этом смысле	2	3
71	прежде всего	4	3
72	художественного произведения	7	3
73	тем не	2	3
74	того что	3	3
75	в сторону	2	3
76	совпадает с	2	3
77	и потому	5	3
78	этого слова	2	3
79	на почве	2	3
80	с ее	2	3
81	другой стороны	5	3
82	как раз	8	3
83	так в	2	3
84	входит в	8	3
85	таким образом	18	3
86	и что	3	3
87	потому что	7	3
88	в основе	3	3
89	в этой	2	3
90	его в	7	3
91	все эти	6	3
92	в художественном	5	3
93	в произведении	3	3
94	к которому	2	3
95	одну из	2	2
96	только не	2	2
97	если бы	12	2
98	была бы	2	2
99	могут быть	4	2
100	за пределы	2	2
101	в следующей	2	2
102	высказывания как	3	2
103	между собой	4	2
104	в конце	3	2
105	жизни в	3	2
106	того же	3	2
107	это не	3	2
108	на фоне	3	2
109	вовсе не	28	2
110	ценностный центр	4	2
111	по себе	4	2
112	в литературе	6	2
113	что он	6	2
114	к тому	4	2
115	данный момент	2	2
116	и как	4	2
117	что они	5	2
118	что каждый	2	2
119	говорит в	2	2
120	а на	2	2
121	в большинстве	4	2
122	внутреннего мира	2	2
123	одной из	2	2
124	имеет место	3	2
125	к его	3	2
126	слова как	2	2
127	в виду	3	2
128	даже в	2	2
129	не могло	2	2
130	и тем	3	2
131	в целом	4	2
132	во всех	3	2
133	вместе с	6	2
134	дело не	2	2
135	со стороны	4	2
136	между которыми	5	2
137	вытекает из	2	2
138	не на	3	2
139	здесь не	2	2
140	в романе	4	2
141	соединении с	2	2
142	и для	6	2
143	это и	2	2
144	в той	3	2
145	с точки	14	2
146	и даже	2	2
147	и притом	2	2
148	высказывания и	5	2
149	так же	9	2
150	роль в	4	2
151	в художественной	2	2
152	их в	3	2
153	без исключения	5	2
154	не следует	3	2
155	о том	4	2
156	и это	2	2
157	отношения к	2	2
158	в области	2	2
