N	2gram	Vinokur_Ku_2	Tvorches
1	и в	23	20
2	в году	2	16
3	не только	20	13
4	и т	39	13
5	никогда не	2	11
6	т д	14	11
7	как бы	4	11
8	в его	5	10
9	таким образом	5	10
10	в то	4	10
11	и его	3	9
12	и не	16	9
13	прежде всего	8	8
14	в том	19	8
15	при этом	2	8
16	но и	7	8
17	может быть	15	8
18	в этом	18	8
19	и с	7	8
20	это не	6	7
21	же время	3	7
22	что в	10	7
23	не может	9	7
24	то же	6	7
25	потому что	25	7
26	у него	3	6
27	в конце	4	6
28	что он	5	6
29	как и	2	6
30	в своей	2	6
31	так и	4	6
32	все это	5	6
33	именно в	3	6
34	а не	10	6
35	но это	3	5
36	еще не	5	5
37	но не	6	5
38	все же	7	5
39	и даже	2	5
40	так же	4	5
41	и на	6	5
42	в этой	6	5
43	об этом	5	4
44	за собой	2	4
45	что у	2	4
46	и от	2	4
47	в соответствии	3	4
48	том что	11	4
49	соответствии с	2	4
50	что они	2	4
51	отнюдь не	4	4
52	хотя и	4	4
53	что она	3	4
54	как в	3	4
55	все эти	12	4
56	тем самым	2	4
57	не в	8	4
58	а в	3	4
59	и потому	2	4
60	ничего не	4	4
61	если бы	12	4
62	но в	11	4
63	же как	2	3
64	казалось бы	3	3
65	превращается в	2	3
66	с этой	2	3
67	к этому	4	3
68	но зато	2	3
69	что не	6	3
70	своего рода	4	3
71	в самом	12	3
72	он не	3	3
73	это определение	2	3
74	один из	5	3
75	в нем	4	3
76	то что	9	3
77	но уже	2	3
78	и это	3	3
79	вместе с	5	3
80	в их	2	3
81	так как	15	3
82	уже не	8	3
83	в современном	2	3
84	этот вопрос	6	3
85	тем что	3	3
86	в своих	2	3
87	в которых	2	3
88	как у	2	3
89	между тем	6	3
90	ни к	15	2
91	уже в	3	2
92	они имеют	2	2
93	не менее	7	2
94	по словам	2	2
95	и есть	2	2
96	с другой	8	2
97	по крайней	6	2
98	я не	5	2
99	вовсе не	9	2
100	во всяком	5	2
101	что на	4	2
102	крайней мере	6	2
103	у нас	12	2
104	что я	4	2
105	и если	2	2
106	в статье	3	2
107	в частности	2	2
108	всяком случае	5	2
109	только для	2	2
110	наше время	2	2
111	по преимуществу	2	2
112	в процессе	3	2
113	приводит к	5	2
114	в наше	2	2
115	так в	3	2
116	и далее	2	2
117	в отличие	2	2
118	т п	24	2
119	ли не	2	2
120	не было	4	2
121	достоевского и	2	2
122	сводится к	3	2
123	всякого рода	2	2
124	самом деле	9	2
125	и что	8	2
126	и у	2	2
127	может служить	2	2
128	на этот	2	2
129	другой стороны	7	2
130	и по	3	2
131	рядом с	2	2
132	роль в	2	2
133	с ними	2	2
134	могут быть	4	2
135	и еще	2	2
136	говорить о	4	2
137	и вообще	2	2
138	только в	5	2
139	в устах	2	2
140	отличие от	2	2
141	так мы	2	2
