N	2gram	Tiupa_Anal_1	Problemy
1	и в	18	34
2	и не	21	29
3	как бы	5	27
4	что он	3	23
5	в его	13	22
6	может быть	29	19
7	в нем	3	19
8	не может	22	19
9	и все	3	19
10	как и	13	18
11	но в	8	16
12	и его	5	16
13	в этом	13	16
14	и с	2	15
15	прежде всего	6	15
16	он не	3	15
17	то же	9	14
18	к нему	3	14
19	самом деле	2	13
20	для него	2	13
21	но и	17	12
22	же время	6	12
23	и к	3	12
24	потому что	2	12
25	в то	9	12
26	вовсе не	2	11
27	в сущности	6	11
28	то что	6	11
29	на самом	2	11
30	с другим	4	11
31	не только	15	10
32	не в	14	9
33	а не	17	9
34	никогда не	2	8
35	себя и	4	8
36	в самом	6	8
37	и т	3	8
38	точки зрения	6	8
39	с ним	4	8
40	что же	2	8
41	в другом	4	8
42	что в	5	7
43	этого слова	7	7
44	все же	4	7
45	как мы	2	7
46	что не	3	7
47	как будто	3	7
48	в пределах	2	6
49	от себя	3	6
50	отношение к	2	6
51	самим собой	2	6
52	и на	5	6
53	с его	3	6
54	для себя	2	6
55	отношению к	5	6
56	так и	4	6
57	т п	3	6
58	в себе	11	6
59	только в	6	6
60	это не	6	5
61	к тому	7	5
62	того что	4	5
63	и сам	2	5
64	в целом	5	5
65	из них	2	5
66	по отношению	6	5
67	таким образом	3	5
68	лишь в	5	5
69	а в	9	5
70	даже в	3	5
71	что и	3	5
72	героя в	2	5
73	хотя бы	3	5
74	на вопрос	4	4
75	то ни	3	4
76	с другой	4	4
77	ни было	4	4
78	ни в	4	4
79	на этом	2	4
80	при этом	12	4
81	на его	2	4
82	не о	2	4
83	бы то	3	4
84	как к	2	4
85	все эти	2	4
86	в начале	2	4
87	так как	2	4
88	если бы	3	4
89	но не	10	4
90	еще не	3	4
91	внутренней речи	5	4
92	в мире	8	4
93	с точки	4	4
94	с другими	4	4
95	я в	3	4
96	вместе с	4	4
97	для этого	2	3
98	его к	2	3
99	в том	27	3
100	такой же	2	3
101	в котором	3	3
102	другой стороны	2	3
103	его и	2	3
104	это как	2	3
105	должно быть	2	3
106	нуждается в	8	3
107	как он	3	3
108	установкой на	2	3
109	и другого	4	3
110	по себе	4	3
111	том что	12	3
112	между тем	5	3
113	не могу	2	3
114	еще в	2	3
115	нет и	2	3
116	в своей	6	3
117	а с	3	3
118	сводится к	5	3
119	и как	5	3
120	и то	2	3
121	далеко не	6	3
122	человек в	3	2
123	и внешнего	2	2
124	столь же	4	2
125	вследствие этого	3	2
126	вопрос о	2	2
127	или иной	6	2
128	при всей	2	2
129	совпадает с	2	2
130	не является	2	2
131	один из	2	2
132	он может	2	2
133	отличается от	2	2
134	того или	3	2
135	особенно в	2	2
136	каждый из	2	2
137	той или	6	2
138	о том	5	2
139	героя к	2	2
140	я и	6	2
141	мире и	2	2
142	а как	2	2
143	отнюдь не	15	2
144	однако в	3	2
145	не с	4	2
146	найти себя	2	2
147	и того	5	2
148	более того	3	2
149	то в	2	2
150	один в	2	2
151	того же	4	2
152	было бы	2	2
153	за пределы	2	2
154	внутреннего и	2	2
155	и потому	2	2
156	о нем	3	2
157	своего рода	3	2
158	в отличие	6	2
159	бы не	2	2
160	тому же	4	2
161	другого в	3	2
162	в той	8	2
163	уже не	4	2
164	в которой	2	2
165	той же	2	2
166	тому как	3	2
167	между двумя	3	2
168	вступает в	3	2
169	подобно тому	3	2
170	будто бы	3	2
171	которые в	2	2
172	отношения человека	2	2
173	отличие от	6	2
