N	2gram	Savitsky_E_1	Analitik
1	в качестве	14	31
2	может быть	6	29
3	в том	11	27
4	не может	9	22
5	и не	14	21
6	в частности	5	19
7	и в	37	18
8	а не	2	17
9	но и	14	17
10	представляет собой	3	16
11	отнюдь не	9	15
12	не только	18	15
13	не в	5	14
14	как и	7	13
15	в его	2	13
16	в этом	12	13
17	том что	6	12
18	в себе	9	11
19	то есть	6	11
20	но не	5	10
21	то же	15	9
22	а в	2	9
23	иначе говоря	2	9
24	в то	16	9
25	в мире	2	8
26	есть не	2	8
27	не есть	2	8
28	в той	5	8
29	но в	14	8
30	к тому	8	7
31	тем самым	5	7
32	прежде всего	9	6
33	или иной	4	6
34	же время	14	6
35	в самом	4	6
36	в случае	2	6
37	той или	4	6
38	далеко не	2	6
39	то что	6	6
40	в своей	8	6
41	точки зрения	23	6
42	по своей	2	6
43	только в	9	6
44	и того	2	5
45	и как	2	5
46	в этой	2	5
47	что в	21	5
48	имеет место	2	5
49	как бы	6	5
50	в их	11	5
51	между тем	8	5
52	и на	6	5
53	о том	3	5
54	того что	7	4
55	и более	2	4
56	могут быть	2	4
57	столь же	5	4
58	с другой	7	4
59	по себе	4	4
60	того же	3	4
61	для того	6	4
62	в области	11	4
63	вместе с	2	4
64	так и	10	4
65	именно в	4	4
66	из того	2	4
67	ни было	4	4
68	не более	3	4
69	более чем	2	4
70	с точки	17	4
71	с другими	2	4
72	всего лишь	3	4
73	место в	3	3
74	не могут	2	3
75	то ни	4	3
76	хотя бы	15	3
77	и все	2	3
78	или иного	4	3
79	и к	3	3
80	в силу	2	3
81	одной стороны	8	3
82	он не	2	3
83	в котором	2	3
84	если в	2	3
85	даже в	4	3
86	что и	3	3
87	не будет	3	3
88	бы то	4	3
89	в культуре	3	3
90	на уровне	2	3
91	а именно	2	3
92	таким образом	2	3
93	с одной	8	3
94	того чтобы	6	3
95	того или	4	3
96	к нему	2	3
97	в таком	3	3
98	как будто	2	3
99	в полной	4	3
100	а также	7	3
101	если бы	2	3
102	и то	2	2
103	никогда не	3	2
104	между собой	2	2
105	в какой	2	2
106	не является	3	2
107	тогда когда	2	2
108	вовсе не	6	2
109	вопрос о	4	2
110	бы ни	3	2
111	можно сказать	4	2
112	то в	4	2
113	и потому	5	2
114	такой же	2	2
115	в пределах	25	2
116	было бы	8	2
117	несмотря на	4	2
118	себе в	3	2
119	и та	2	2
120	как совокупность	4	2
121	какой бы	2	2
122	не к	2	2
123	из них	3	2
124	в процессе	4	2
125	не говоря	2	2
126	данном случае	2	2
127	со стороны	5	2
128	что же	2	2
129	другой стороны	2	2
130	этом отношении	3	2
131	и по	5	2
132	как мы	5	2
133	на основе	2	2
134	на себя	3	2
135	также и	7	2
136	культуры в	4	2
137	тем более	4	2
138	в данном	3	2
139	при помощи	2	2
140	так как	7	2
141	думать что	8	2
142	потому что	3	2
143	и с	2	2
144	мира в	4	2
