N	3gram	Tiupa_Narr_1	Myshleni
1	для того чтобы	3	18
2	в том что	5	13
3	в данном случае	8	5
4	то же самое	2	5
5	по отношению к	3	5
6	в самом деле	2	4
7	о том что	2	4
8	на то что	2	4
9	и тем самым	4	4
10	не может быть	4	4
11	одно и то	2	3
12	тем не менее	3	3
13	можно сказать что	2	3
14	что у нее	2	3
15	в этом отношении	3	3
16	состоит в том	2	3
17	до сих пор	2	3
18	и то же	2	3
19	в первом случае	3	3
20	в свою очередь	2	2
21	в этом и	3	2
22	как раз в	2	2
23	в отличие от	2	2
24	в известном смысле	2	2
25	чем иным как	2	2
