N	2gram	Bakhtin_sl_1	Myslijsy
1	то есть	26	34
2	потому что	2	33
3	может быть	14	26
4	таким образом	9	24
5	в том	3	23
6	и в	41	23
7	в этом	12	23
8	в слове	7	22
9	и проч	2	18
10	и не	16	18
11	в языке	5	16
12	при этом	6	15
13	только в	6	15
14	для нас	2	14
15	как и	4	14
16	в себе	3	14
17	то же	14	14
18	того что	3	14
19	так как	3	14
20	том что	2	12
21	не было	3	12
22	а не	15	12
23	но и	16	11
24	не в	7	11
25	не может	14	11
26	и потому	4	10
27	не только	16	10
28	не есть	2	9
29	между тем	2	9
30	в своем	3	8
31	было бы	3	8
32	мы не	2	8
33	сказать что	2	8
34	о том	3	8
35	но в	8	8
36	это не	6	7
37	в нем	30	7
38	вовсе не	7	7
39	и т	28	7
40	могут быть	19	7
41	как в	8	7
42	с этим	3	7
43	поэзии и	4	7
44	и к	5	6
45	для того	2	6
46	тем и	2	6
47	в которой	4	6
48	так и	11	6
49	есть для	2	5
50	так что	2	5
51	для него	3	5
52	хотя и	2	5
53	в его	13	5
54	как бы	12	5
55	к нему	5	5
56	этом случае	2	5
57	бы и	3	5
58	все это	5	5
59	язык не	2	5
60	должно быть	2	5
61	а в	6	5
62	с ним	7	5
63	не из	2	5
64	во всяком	7	5
65	образом в	3	5
66	и то	2	5
67	слова и	13	5
68	так сказать	5	5
69	и все	4	4
70	что все	2	4
71	до сих	2	4
72	можно сказать	2	4
73	и может	3	4
74	со своим	5	4
75	в одном	2	4
76	и о	2	4
77	в котором	2	4
78	и тем	2	4
79	языке и	2	4
80	между ними	2	4
81	сих пор	2	4
82	только на	2	4
83	слово в	10	4
84	в истории	3	4
85	в той	10	4
86	хотя бы	3	4
87	так же	2	4
88	с другими	5	4
89	точки зрения	16	4
90	в данном	3	4
91	т п	23	4
92	в сознании	2	4
93	в то	14	4
94	его в	3	4
95	а между	2	4
96	и с	4	4
97	слова в	8	3
98	никогда не	3	3
99	связи с	2	3
100	в этих	2	3
101	в них	6	3
102	из одного	2	3
103	в смысле	4	3
104	именно в	3	3
105	же время	12	3
106	кроме того	4	3
107	еще не	4	3
108	мы уже	2	3
109	к тому	3	3
110	например в	2	3
111	на его	8	3
112	в самом	5	3
113	и следовательно	7	3
114	известной степени	4	3
115	всяком случае	5	3
116	в каждом	4	3
117	и другим	2	3
118	в процессе	4	3
119	языка и	12	3
120	так в	2	3
121	т д	5	3
122	той же	2	3
123	в разных	3	3
124	все эти	9	3
125	и других	3	3
126	те же	2	3
127	на самом	2	3
128	уже не	2	3
129	лишь в	4	3
130	и по	2	3
131	с ними	3	3
132	и на	14	3
133	то в	2	3
134	ту же	4	3
135	в поэзии	3	3
136	с точки	8	3
137	в первом	3	3
138	там где	4	3
139	не могут	3	2
140	не были	3	2
141	в другой	2	2
142	том же	4	2
143	тому что	2	2
144	столь же	2	2
145	с другой	5	2
146	оно не	6	2
147	не как	4	2
148	из этих	3	2
149	языка в	16	2
150	а как	2	2
151	для понимания	2	2
152	отношение к	7	2
153	том и	2	2
154	и здесь	3	2
155	в ее	2	2
156	говорящего и	2	2
157	у нас	2	2
158	из этого	3	2
159	языка язык	2	2
160	мы и	2	2
161	по своему	2	2
162	в большинстве	10	2
163	в свою	3	2
164	она не	3	2
165	языка то	2	2
166	в сущности	13	2
167	с которым	2	2
168	они могут	7	2
169	в ней	4	2
170	он не	3	2
171	и др	14	2
172	даже в	2	2
173	как оно	3	2
174	один из	4	2
175	не с	2	2
176	на том	2	2
177	конечно не	3	2
178	данном случае	3	2
179	мы видим	2	2
180	языку и	5	2
181	и для	4	2
182	если мы	2	2
183	еще более	5	2
184	дело не	2	2
185	как мы	8	2
186	до известной	2	2
187	поэтическом произведении	3	2
188	и у	2	2
189	и даже	6	2
190	друг друга	3	2
191	и его	14	2
192	в других	3	2
193	можно было	2	2
194	нас в	2	2
195	бы ни	3	2
196	в виде	2	2
197	с языком	2	2
198	и вообще	2	2
199	от его	3	2
200	большинстве случаев	6	2
201	быть и	4	2
202	из него	2	2
