N	2gram	Nazirov_Tr_1	Hudozhes
1	и в	18	28
2	в рассказе	2	21
3	том что	4	19
4	в ее	2	18
5	и не	7	18
6	своего рода	3	16
7	в том	2	15
8	не в	2	13
9	в этом	9	13
10	о том	2	12
11	перед нами	2	11
12	как и	5	11
13	при этом	3	11
14	в его	3	11
15	не только	8	11
16	уже не	2	10
17	не случайно	2	10
18	но и	4	9
19	в себе	4	9
20	в душе	2	8
21	о чем	3	8
22	что он	6	8
23	может быть	7	8
24	так и	5	8
25	я не	4	7
26	и все	4	7
27	к тому	2	7
28	об этом	4	7
29	в мире	3	7
30	в частности	2	7
31	что она	2	7
32	с ним	3	7
33	как это	3	7
34	это не	5	6
35	то что	4	6
36	то же	5	6
37	в глазах	2	6
38	и с	7	6
39	тем что	2	6
40	в то	5	6
41	с его	2	5
42	что это	5	5
43	у него	6	5
44	в своем	3	5
45	как бы	7	5
46	как в	3	5
47	с ее	3	5
48	в этой	4	5
49	что в	4	5
50	и сам	3	5
51	в самом	2	5
52	никогда не	2	5
53	и его	6	5
54	для него	3	5
55	ничего не	2	5
56	бы и	2	4
57	говорит о	2	4
58	же время	6	4
59	он не	2	4
60	что и	2	4
61	то и	2	4
62	не может	5	4
63	как будто	3	4
64	столь же	2	3
65	в одном	2	3
66	но при	2	3
67	что все	2	3
68	прежде всего	4	3
69	в нем	4	3
70	и ее	2	3
71	любви и	2	3
72	еще не	4	3
73	по поводу	2	3
74	в это	2	3
75	несмотря на	5	3
76	во сне	2	3
77	все это	4	3
78	и он	3	3
79	так же	4	3
80	и на	7	3
81	и это	2	3
82	к нему	3	3
83	это был	2	2
84	он сам	7	2
85	ее жизни	2	2
86	отнюдь не	3	2
87	а как	2	2
88	вместе со	2	2
89	о его	2	2
90	что я	4	2
91	одна из	2	2
92	как у	2	2
93	это уже	2	2
94	в ресторане	2	2
95	один из	3	2
96	все же	5	2
97	в первом	2	2
98	отношение к	2	2
99	как же	2	2
100	данном случае	2	2
101	к людям	3	2
102	тем самым	3	2
103	который в	2	2
104	в данном	2	2
105	и то	2	2
106	потому что	2	2
107	личности и	2	2
108	в виде	2	2
109	его в	2	2
110	что говорит	2	2
111	но в	6	2
