N	2gram	Propp_Isto_3	Otkroven
1	у него	3	22
2	и в	22	19
3	но и	12	13
4	и не	12	13
5	в этом	17	12
6	а не	6	11
7	не в	4	11
8	может быть	11	11
9	не только	14	11
10	и все	3	10
11	вопрос о	2	10
12	в нем	9	10
13	никогда не	3	9
14	не было	2	9
15	потому что	3	9
16	прежде всего	3	9
17	и он	2	8
18	но он	4	7
19	от него	2	7
20	нет ничего	2	7
21	он не	5	7
22	в его	3	7
23	как и	3	6
24	то что	7	5
25	а в	6	5
26	отношение к	4	5
27	в том	9	5
28	в этой	5	5
29	т е	16	4
30	что не	2	4
31	и его	4	4
32	все эти	4	4
33	не может	4	4
34	что в	15	4
35	него и	2	4
36	к нему	5	3
37	в этих	11	3
38	и есть	2	3
39	это не	6	3
40	и вот	2	3
41	что он	9	3
42	того что	5	3
43	еще не	10	3
44	и от	3	3
45	могут быть	5	3
46	все что	3	3
47	и ее	3	3
48	было бы	3	3
49	в русской	3	3
50	никто не	2	3
51	о том	3	3
52	в этот	2	2
53	все же	5	2
54	что и	9	2
55	ее в	3	2
56	и для	2	2
57	с тем	2	2
58	и там	4	2
59	можно ли	3	2
60	так и	2	2
61	в своем	2	2
62	что у	3	2
63	не все	6	2
64	все еще	6	2
65	к этому	7	2
66	и к	3	2
67	не имеет	2	2
68	его не	3	2
69	в других	4	2
70	том что	8	2
71	так что	5	2
72	в другом	2	2
73	и на	4	2
74	и то	2	2
75	что они	8	2
76	сказать что	3	2
77	и с	4	2
78	тем что	4	2
79	его в	3	2
80	должен был	3	2
81	так как	7	2
82	и о	2	2
83	ничего не	6	2
84	хотя и	2	2
85	к ней	4	2
86	но в	10	2
87	и потому	2	2
88	же можно	2	2
