N	2gram	Voloshinov_1	KulturaY
1	и в	12	23
2	точки зрения	14	23
3	в том	6	22
4	не только	4	17
5	в этом	4	16
6	с точки	2	16
7	может быть	14	14
8	самом деле	3	14
9	что в	2	13
10	в самом	4	13
11	не менее	3	12
12	том что	5	11
13	а не	5	11
14	того что	3	11
15	в его	2	11
16	и не	10	10
17	прежде всего	8	9
18	тем не	3	9
19	еще не	3	9
20	хотя бы	5	9
21	таким образом	12	9
22	так как	9	9
23	если бы	9	8
24	зависимости от	4	8
25	до сих	3	8
26	сих пор	3	8
27	уже не	4	8
28	как на	2	8
29	в виду	5	8
30	в нашем	11	7
31	с другой	4	7
32	слова и	6	7
33	в зависимости	2	7
34	те же	2	7
35	и что	2	7
36	речи в	2	7
37	в данном	2	7
38	сказать что	7	7
39	все эти	3	7
40	как это	2	7
41	по себе	3	6
42	что и	2	6
43	при этом	6	6
44	так и	4	6
45	не может	16	6
46	то же	5	6
47	с помощью	6	6
48	могут быть	2	6
49	только в	6	6
50	о том	3	6
51	ничего не	2	6
52	независимо от	2	5
53	как и	5	5
54	не в	4	5
55	как бы	13	5
56	все же	4	5
57	от того	4	5
58	но это	2	5
59	в поэзии	3	5
60	в чем	2	5
61	ясно что	3	4
62	для нас	7	4
63	одной стороны	2	4
64	в своей	3	4
65	точка зрения	3	4
66	то что	5	4
67	данном случае	2	4
68	как в	5	4
69	в своем	2	4
70	с одной	2	4
71	что не	4	4
72	между тем	3	4
73	тогда когда	2	4
74	уже в	2	3
75	и более	3	3
76	отнюдь не	5	3
77	что слово	2	3
78	это не	2	3
79	формы и	3	3
80	на самом	4	3
81	должна быть	5	3
82	и к	4	3
83	в отношении	2	3
84	как же	2	3
85	ни в	3	3
86	с этой	2	3
87	но не	2	3
88	в какой	2	3
89	но для	3	3
90	он не	2	3
91	не есть	2	3
92	отношение к	4	3
93	в процессе	6	3
94	но и	3	3
95	на него	2	3
96	по отношению	11	3
97	другой стороны	2	3
98	тому же	2	3
99	мы не	3	3
100	в ней	6	3
101	и пр	3	3
102	не так	2	3
103	и с	3	3
104	слово в	3	3
105	в каком	3	3
106	в то	2	3
107	она не	2	3
108	бы не	2	3
109	там где	2	3
110	такой же	2	2
111	все это	3	2
112	но все	2	2
113	все они	2	2
114	точку зрения	2	2
115	на материале	2	2
116	и содержания	2	2
117	в условиях	2	2
118	можно сказать	5	2
119	к его	2	2
120	точек зрения	3	2
121	и здесь	2	2
122	двух направлениях	3	2
123	кроме того	2	2
124	конечно не	3	2
125	за пределы	4	2
126	в котором	3	2
127	его в	4	2
128	но мы	2	2
129	отношению к	11	2
130	в пределах	3	2
131	слово это	2	2
132	когда он	3	2
133	в некоторых	3	2
134	вместе с	2	2
135	подчеркнуть что	2	2
136	как к	3	2
137	смысл и	2	2
138	в особенности	2	2
139	в корне	2	2
140	так же	3	2
141	с другими	2	2
142	ни на	2	2
143	еще раз	2	2
144	что мы	5	2
145	если же	2	2
146	в этих	2	2
147	здесь не	3	2
148	относится к	2	2
149	мы имеем	2	2
150	но в	5	2
151	имеет в	3	2
