N	2gram	Vinokur_Ku_2	Problemy
1	и в	23	46
2	и не	16	27
3	может быть	15	23
4	как бы	4	19
5	не может	9	19
6	в нем	4	17
7	в этом	18	16
8	не только	20	14
9	слова в	6	13
10	перед нами	4	12
11	но и	7	12
12	как и	2	12
13	как мы	3	12
14	и на	6	11
15	точки зрения	14	11
16	а не	10	11
17	не в	8	10
18	в пределах	4	10
19	прежде всего	8	9
20	в том	19	9
21	в самом	12	9
22	и все	2	9
23	вовсе не	9	9
24	в его	5	9
25	с точки	8	9
26	большинстве случаев	2	8
27	конечно не	2	8
28	или в	4	8
29	и с	7	7
30	по себе	10	7
31	еще не	5	7
32	в сущности	9	7
33	как раз	3	7
34	слова и	5	7
35	никогда не	2	6
36	ни в	4	6
37	но это	3	6
38	есть в	3	6
39	хотя и	4	6
40	но в	11	6
41	на фоне	3	6
42	что он	5	6
43	что я	4	6
44	то же	6	6
45	все это	5	6
46	и его	3	6
47	только в	5	6
48	это не	6	5
49	же время	3	5
50	при этом	2	5
51	к нему	2	5
52	в самой	2	5
53	рядом с	2	5
54	в то	4	5
55	так как	15	5
56	у него	3	5
57	это слово	4	5
58	если мы	4	5
59	речи и	5	5
60	уже в	3	4
61	что в	10	4
62	очень часто	2	4
63	можно сказать	4	4
64	да и	6	4
65	до конца	3	4
66	в виду	3	4
67	в их	2	4
68	таким образом	5	4
69	еще и	2	4
70	все эти	12	4
71	должно быть	4	4
72	потому что	25	4
73	же и	2	4
74	он и	2	4
75	и здесь	5	4
76	не знает	3	4
77	превращается в	2	4
78	как в	3	4
79	том что	11	4
80	но не	6	4
81	совершенно не	3	4
82	он не	3	4
83	все же	7	4
84	то что	9	4
85	своего рода	4	4
86	в процессе	3	4
87	так и	4	4
88	приводит к	5	4
89	уже не	8	4
90	самом деле	9	4
91	здесь не	3	4
92	в отношении	2	3
93	с другой	8	3
94	не могут	5	3
95	на то	4	3
96	в своем	2	3
97	на этом	3	3
98	но для	3	3
99	и для	2	3
100	и до	2	3
101	другой стороны	7	3
102	так же	4	3
103	с помощью	7	3
104	и даже	2	3
105	конечно и	2	3
106	также и	5	3
107	в конце	4	3
108	мы имеем	5	3
109	если бы	12	3
110	не как	2	3
111	но здесь	2	3
112	по существу	5	3
113	того же	3	3
114	и что	8	3
115	слов и	2	3
116	она не	2	3
117	было бы	15	3
118	в своей	2	3
119	и о	4	3
120	никак не	3	3
121	что и	3	3
122	что же	5	3
123	в отличие	2	3
124	в той	2	3
125	в речи	6	3
126	тем же	2	3
127	той же	2	3
128	отличается от	3	3
129	почти всегда	2	3
130	слова как	3	3
131	тем что	3	3
132	в этой	6	3
133	установка на	2	3
134	и это	3	3
135	отличие от	2	3
136	не менее	7	2
137	должна быть	5	2
138	для этого	3	2
139	или меньшей	3	2
140	достоевского и	2	2
141	и речь	2	2
142	на все	2	2
143	вопрос о	9	2
144	его к	2	2
145	к тому	4	2
146	для нас	4	2
147	мы будем	2	2
148	следовательно и	2	2
149	но все	4	2
150	же как	2	2
151	большей или	3	2
152	смысле слова	2	2
153	в большей	3	2
154	в плоскости	2	2
155	меньшей степени	3	2
156	и следовательно	2	2
157	и тем	5	2
158	к слову	2	2
159	на том	2	2
160	целый ряд	5	2
161	языка и	8	2
162	то и	3	2
163	отношения к	2	2
164	не было	4	2
165	те же	3	2
166	лишь в	5	2
167	свое время	2	2
168	и по	3	2
169	а в	3	2
170	в которых	2	2
171	широком смысле	4	2
172	в результате	4	2
173	сказать что	4	2
174	в узком	4	2
175	языка в	3	2
176	о котором	2	2
177	что мы	6	2
178	между тем	6	2
179	сознания и	2	2
180	с этим	3	2
181	а следовательно	2	2
182	этом смысле	5	2
183	не хочет	2	2
184	о которых	3	2
185	у нас	12	2
186	в которые	3	2
187	слова не	3	2
188	в корне	2	2
189	он уже	2	2
190	об этом	5	2
191	в свое	2	2
192	этого слова	5	2
193	и пр	8	2
194	вместе с	5	2
195	бы и	4	2
196	так в	3	2
197	в языке	10	2
198	узком смысле	2	2
199	все равно	2	2
200	что такое	3	2
201	на этот	2	2
202	хотя бы	9	2
203	речь в	5	2
204	слов в	3	2
205	можно было	9	2
206	ничего не	4	2
207	в атмосфере	2	2
208	в данном	4	2
209	этот вопрос	6	2
210	во всяком	5	2
211	от этого	2	2
212	могут быть	4	2
213	в другом	2	2
214	ту же	6	2
215	там где	5	2
216	того как	2	2
