N	2gram	Nazirov_Tv_2	Dialekti
1	и не	9	30
2	и т	13	21
3	т д	11	19
4	и в	20	18
5	ничего не	4	17
6	может быть	8	17
7	в нем	3	16
8	и есть	2	16
9	так что	2	15
10	а не	6	14
11	потому что	7	14
12	что в	7	13
13	то что	3	13
14	не только	13	13
15	и даже	5	13
16	если бы	4	12
17	и что	2	12
18	в этом	8	12
19	не может	7	12
20	что он	6	11
21	как бы	11	11
22	все это	6	11
23	в себе	3	11
24	так как	3	11
25	прежде всего	8	10
26	то же	7	10
27	никогда не	11	9
28	отнюдь не	4	9
29	это не	7	9
30	в том	8	9
31	так и	6	9
32	том что	4	9
33	но это	5	8
34	вовсе не	2	7
35	но и	8	7
36	что она	4	7
37	что не	3	7
38	с другой	2	6
39	не было	2	6
40	не в	4	6
41	в то	10	6
42	в чем	4	6
43	с ним	3	6
44	но в	4	6
45	я не	2	5
46	он сам	3	5
47	в дальнейшем	4	5
48	и мы	3	5
49	но если	2	5
50	все же	5	5
51	и он	2	5
52	а в	4	5
53	и с	8	5
54	говорить о	2	5
55	по крайней	2	4
56	у пушкина	3	4
57	в конце	6	4
58	быть может	3	4
59	не мешает	2	4
60	во всяком	2	4
61	об этом	4	4
62	крайней мере	2	4
63	мы видим	4	4
64	но не	5	4
65	же время	7	4
66	хотя и	4	4
67	в котором	3	4
68	так же	5	4
69	другой стороны	2	4
70	образ и	2	4
71	и вообще	2	4
72	о том	5	4
73	точку зрения	2	3
74	не является	3	3
75	но эта	2	3
76	что я	2	3
77	что они	4	3
78	он не	3	3
79	только с	2	3
80	в его	10	3
81	и потому	4	3
82	один из	3	3
83	в их	3	3
84	в самом	3	3
85	самом деле	2	3
86	в основе	2	3
87	могут быть	2	3
88	и еще	2	3
89	только в	2	3
90	как у	3	2
91	ни к	2	2
92	не менее	2	2
93	же как	3	2
94	именно в	6	2
95	в виде	2	2
96	в частности	2	2
97	как в	4	2
98	с этой	3	2
99	и от	4	2
100	точка зрения	2	2
101	с другими	2	2
102	к этому	3	2
103	в мире	5	2
104	как и	6	2
105	такой же	2	2
106	как о	2	2
107	тому же	2	2
108	для него	3	2
109	до сих	3	2
110	еще не	5	2
111	всяком случае	2	2
112	но уже	3	2
113	из них	2	2
114	в своей	6	2
115	сих пор	3	2
116	к самому	2	2
117	и тогда	2	2
118	т п	2	2
119	а с	3	2
120	все эти	4	2
121	уже не	3	2
122	и у	2	2
123	д и	2	2
124	с ними	2	2
125	в которых	3	2
126	он всегда	2	2
127	о своих	2	2
128	и это	3	2
129	тоже не	2	2
