N	2gram	Tiupa_Disk_2	Sovremen
1	не может	9	17
2	точки зрения	4	12
3	может быть	16	12
4	в этом	16	7
5	и в	16	7
6	и не	15	6
7	как и	16	6
8	в результате	2	6
9	что же	2	5
10	прежде всего	7	5
11	все эти	3	5
12	и наконец	3	5
13	с точки	2	5
14	как бы	4	4
15	в целом	2	4
16	жизни и	3	4
17	вместе с	2	4
18	это не	3	4
19	а в	2	4
20	не только	10	4
21	в том	8	4
22	их в	2	4
23	из них	3	4
24	все же	6	3
25	отнюдь не	6	3
26	все это	2	3
27	не подлежит	2	3
28	то же	6	3
29	в нем	7	3
30	а не	14	3
31	из двух	3	3
32	не в	3	3
33	в этой	4	3
34	еще не	6	3
35	при этом	17	3
36	в одном	4	3
37	и все	3	3
38	в себе	19	3
39	в области	2	3
40	но в	11	3
41	может иметь	2	2
42	не менее	7	2
43	можно назвать	4	2
44	приводит к	3	2
45	в отличие	12	2
46	из этих	3	2
47	с одной	4	2
48	уже не	3	2
49	или иной	3	2
50	роль в	4	2
51	той же	2	2
52	такой же	2	2
53	времени и	2	2
54	могут быть	3	2
55	что в	5	2
56	говорить о	2	2
57	такого рода	9	2
58	отличие от	12	2
59	в его	3	2
