N	3gram	Losev_Prob_1	VeschiIm
1	и т д	10	20
2	не может быть	2	18
3	не что иное	2	8
4	что иное как	2	8
5	т д и	4	7
6	д и т	3	7
7	по крайней мере	2	6
8	на то что	8	6
9	в том что	5	6
10	не есть ни	5	6
11	тем не менее	18	5
12	есть не что	2	5
13	содержит в себе	7	5
14	с точки зрения	3	4
15	в то же	4	4
16	и то что	2	4
17	указывает на то	3	3
18	что она есть	2	3
19	ли сказать что	2	3
20	в самом деле	2	3
21	более или менее	3	3
22	можно было бы	2	3
23	то и другое	2	3
24	можно ли сказать	2	3
25	сама по себе	4	3
26	только то что	4	3
27	сам по себе	7	3
28	подобно тому как	2	3
29	есть еще и	2	2
30	дело в том	3	2
31	вещи есть ее	19	2
32	мы говорим что	2	2
33	можно сказать что	3	2
34	в данном случае	8	2
35	а есть только	2	2
36	о том как	2	2
37	и не просто	2	2
38	так или иначе	2	2
