N	2gram	Vygotskiy__6	KulturaY
1	в том	28	30
2	и в	28	24
3	потому что	22	23
4	том что	19	21
5	что в	17	17
6	того чтобы	10	17
7	для того	8	16
8	было бы	9	15
9	в этом	27	14
10	точки зрения	13	14
11	может быть	13	13
12	языка в	2	12
13	все же	2	12
14	таким образом	18	12
15	в его	3	12
16	и не	11	12
17	не в	4	11
18	только в	18	11
19	в силу	17	10
20	в самом	8	10
21	у нас	2	10
22	не только	16	10
23	если бы	7	9
24	то что	28	9
25	прежде всего	2	9
26	отношению к	10	9
27	самом деле	2	9
28	того что	24	9
29	с точки	10	9
30	так как	10	9
31	а только	2	8
32	языка и	5	8
33	по отношению	10	8
34	то же	7	8
35	а не	3	8
36	как раз	6	8
37	тем что	8	8
38	не менее	2	7
39	в них	3	7
40	с другой	2	7
41	связи с	3	7
42	в качестве	4	7
43	как бы	11	7
44	вместе с	7	7
45	не может	19	7
46	с помощью	13	7
47	это не	5	7
48	бы в	3	7
49	в области	6	7
50	так и	6	7
51	тогда когда	6	6
52	именно в	4	6
53	что он	18	6
54	зависимости от	5	6
55	при этом	3	6
56	что такое	3	6
57	но и	10	6
58	все это	2	6
59	другой стороны	2	6
60	можно было	7	6
61	все эти	2	6
62	в которых	2	6
63	мы имеем	4	6
64	в которой	7	6
65	с тем	5	5
66	в зависимости	5	5
67	к тому	10	5
68	но не	10	5
69	еще не	8	5
70	например в	4	5
71	и что	6	5
72	целый ряд	4	5
73	этом отношении	3	5
74	в той	4	5
75	а в	2	5
76	и его	3	5
77	речи и	5	5
78	с ним	2	5
79	с его	3	4
80	в частности	4	4
81	переход от	4	4
82	в этих	2	4
83	из области	2	4
84	на то	4	4
85	в нем	7	4
86	по существу	2	4
87	что они	2	4
88	есть в	3	4
89	того же	7	4
90	в пределах	5	4
91	из них	2	4
92	в первую	3	4
93	это и	3	4
94	речи в	2	4
95	один из	3	4
96	что и	4	4
97	в целом	3	4
98	сих пор	3	4
99	до сих	3	4
100	как в	3	4
101	внимание на	2	4
102	не на	2	4
103	с этим	4	4
104	того как	5	4
105	тем самым	8	4
106	так что	6	4
107	речь в	2	4
108	так же	15	4
109	с ними	2	4
110	и на	5	4
111	в данном	2	4
112	из этих	3	4
113	и является	2	4
114	там где	7	4
115	значение слова	3	3
116	как на	3	3
117	казалось бы	2	3
118	состоит в	2	3
119	для этого	2	3
120	ясно что	4	3
121	этом смысле	2	3
122	была бы	2	3
123	можно сказать	6	3
124	в первом	4	3
125	только тогда	4	3
126	в этой	5	3
127	очевидно что	3	3
128	письменной речи	7	3
129	связано с	3	3
130	в сущности	7	3
131	на том	2	3
132	этого слова	2	3
133	в котором	2	3
134	по мере	3	3
135	оно не	4	3
136	не с	2	3
137	на его	3	3
138	когда он	2	3
139	тому что	11	3
140	в своем	7	3
141	в связи	2	3
142	что оно	7	3
143	в их	3	3
144	в системе	3	3
145	несмотря на	2	3
146	той же	4	3
147	и здесь	3	3
148	и то	4	3
149	хотя и	3	3
150	нуждается в	3	3
151	они не	4	3
152	в себе	4	3
153	а это	3	3
154	как это	3	3
155	в одном	2	3
156	к которому	2	3
157	том как	2	3
158	я не	4	2
159	только к	3	2
160	и более	2	2
161	до того	3	2
162	никогда не	8	2
163	иначе как	5	2
164	что их	3	2
165	с этой	2	2
166	одного и	4	2
167	и все	5	2
168	но с	2	2
169	что все	5	2
170	в каждом	3	2
171	как они	2	2
172	не могут	5	2
173	вопрос о	5	2
174	по себе	3	2
175	когда оно	2	2
176	если мы	2	2
177	в то	6	2
178	для нас	2	2
179	этом случае	2	2
180	и того	4	2
181	как и	6	2
182	и как	6	2
183	это есть	3	2
184	что если	2	2
185	что с	3	2
186	первую очередь	3	2
187	в своей	2	2
188	оно совершается	2	2
189	одним из	2	2
190	том же	5	2
191	но если	4	2
192	именно поэтому	2	2
193	относится к	4	2
194	себе и	2	2
195	к жизни	4	2
196	в состоянии	4	2
197	и тем	5	2
198	ее в	2	2
199	были бы	2	2
200	втором случае	2	2
201	уже из	2	2
202	мы говорим	2	2
203	он не	7	2
204	в разных	5	2
205	иначе говоря	3	2
206	силу того	5	2
207	во втором	3	2
208	на этот	4	2
209	между ними	7	2
210	не имеет	6	2
211	действия и	3	2
212	когда мы	6	2
213	языка на	2	2
214	от этого	3	2
215	как с	2	2
216	что я	2	2
217	могли бы	9	2
218	заключается в	7	2
219	на примере	3	2
220	до конца	3	2
221	но в	5	2
222	в определенных	2	2
