N	2gram	Nazirov_Tv_2	Istorich
1	и в	20	24
2	что он	6	21
3	не только	13	21
4	и т	13	17
5	т д	11	16
6	может быть	8	14
7	не может	7	14
8	что в	7	13
9	как в	4	12
10	в этом	8	12
11	но и	8	11
12	это не	7	10
13	у него	6	10
14	том что	4	10
15	а в	4	10
16	и что	2	10
17	мы видим	4	10
18	с другой	2	9
19	не в	4	9
20	все же	5	9
21	о том	5	9
22	потому что	7	9
23	показывает что	4	8
24	еще не	5	8
25	все это	6	8
26	другой стороны	2	8
27	то же	7	8
28	а не	6	8
29	так как	3	8
30	один из	3	7
31	в том	8	7
32	одна из	3	7
33	то что	3	7
34	вместе с	3	7
35	таким образом	10	7
36	тем что	3	6
37	с этой	3	6
38	об этом	4	6
39	как и	6	6
40	так же	5	6
41	но не	5	6
42	в нем	3	6
43	он не	3	6
44	только в	2	6
45	не менее	2	5
46	так и	6	5
47	что она	4	5
48	в чем	4	5
49	с ним	3	5
50	ничего не	4	5
51	в русской	2	5
52	героя и	2	5
53	но в	4	5
54	никогда не	11	4
55	что у	4	4
56	вовсе не	2	4
57	при этом	8	4
58	одной из	3	4
59	своего рода	3	4
60	же как	3	4
61	как бы	11	4
62	в их	3	4
63	если не	4	4
64	и не	9	4
65	мы не	4	4
66	так в	2	4
67	начинается с	2	4
68	уже в	2	3
69	не столько	2	3
70	превращается в	3	3
71	представление о	7	3
72	в образе	3	3
73	если он	5	3
74	так что	2	3
75	в дальнейшем	4	3
76	что они	4	3
77	этой задачи	2	3
78	и если	2	3
79	например в	5	3
80	его в	3	3
81	при помощи	2	3
82	когда он	4	3
83	сих пор	3	3
84	в свете	3	3
85	на ней	2	3
86	и наконец	2	3
87	и даже	5	3
88	и он	2	3
89	и по	2	3
90	и его	9	3
91	но это	5	3
92	не случайно	2	3
93	хотя и	4	3
94	которой он	2	3
95	в конце	6	3
96	тогда как	3	3
97	тоже не	2	3
98	не стоит	2	2
99	или даже	2	2
100	и от	4	2
101	не знал	2	2
102	к этому	3	2
103	прежде всего	8	2
104	в литературе	2	2
105	и ее	2	2
106	в то	10	2
107	в ее	2	2
108	что его	2	2
109	у нее	3	2
110	брак с	2	2
111	так например	3	2
112	на его	4	2
113	в самом	3	2
114	в основном	6	2
115	восходит к	2	2
116	в котором	3	2
117	и др	3	2
118	на него	2	2
119	д в	3	2
120	связь с	2	2
121	уже не	3	2
122	во многих	2	2
123	там же	9	2
124	но эта	2	2
125	что не	3	2
126	и у	2	2
127	на этот	2	2
128	не так	2	2
129	в которой	2	2
130	друг друга	2	2
131	что этот	2	2
132	в основе	2	2
133	из них	2	2
134	в одной	3	2
135	известно что	2	2
136	и на	5	2
137	этот вопрос	3	2
138	все эти	4	2
139	и это	3	2
140	до сих	3	2
