N	2gram	Tiupa_Hudo_1	Vladivir
1	и в	19	40
2	то что	4	28
3	и не	15	25
4	не только	16	25
5	то есть	18	24
6	но и	10	18
7	в том	18	18
8	том что	8	18
9	что в	6	17
10	в этом	11	16
11	в его	9	14
12	не может	7	14
13	точки зрения	10	13
14	вовсе не	2	13
15	только в	5	13
16	а именно	2	12
17	сказать что	4	12
18	никогда не	2	11
19	таким образом	3	11
20	потому что	3	11
21	о том	2	11
22	прежде всего	4	10
23	тем не	3	10
24	ни в	5	10
25	и потому	2	10
26	как раз	3	10
27	в году	2	10
28	и его	12	10
29	не менее	3	9
30	уже не	4	9
31	и то	4	9
32	в своей	5	9
33	в себе	9	9
34	в своем	2	8
35	в этой	2	8
36	для него	4	8
37	может быть	14	8
38	так же	2	8
39	и что	3	8
40	он не	4	8
41	а также	5	8
42	а не	9	8
43	к тому	4	7
44	а только	4	7
45	и как	3	7
46	хотя и	3	7
47	а в	12	7
48	того что	4	7
49	в то	6	7
50	что и	2	7
51	как и	2	7
52	и на	2	6
53	по себе	2	6
54	об этом	2	6
55	то в	2	6
56	не будет	2	6
57	так и	11	6
58	с точки	3	6
59	и это	2	6
60	с другой	7	5
61	отношения к	2	5
62	в отношении	3	5
63	все эти	2	5
64	отнюдь не	2	5
65	в одном	2	5
66	что он	3	5
67	для себя	2	5
68	или менее	5	5
69	в данном	4	5
70	более или	5	5
71	тому что	2	4
72	в глаза	2	4
73	мог бы	3	4
74	такого рода	10	4
75	в самом	5	4
76	как это	5	4
77	не с	2	4
78	но не	11	4
79	еще не	3	4
80	и о	3	4
81	даже в	3	4
82	то же	10	4
83	а с	2	4
84	если мы	2	4
85	в каком	2	4
86	но в	7	4
87	я не	2	3
88	в качестве	24	3
89	это не	2	3
90	из этих	3	3
91	и весьма	2	3
92	только о	2	3
93	одной стороны	2	3
94	при этом	13	3
95	как бы	9	3
96	в виду	5	3
97	и тем	2	3
98	в нем	5	3
99	к нему	3	3
100	отличается от	2	3
101	с одной	2	3
102	именно в	2	3
103	не столько	3	3
104	сводится к	7	3
105	мы имеем	6	3
106	если бы	3	3
107	этом смысле	3	3
108	говорит в	2	3
109	с их	2	3
110	за пределы	2	3
111	не все	2	3
112	ее в	2	3
113	в отличие	7	3
114	собственно говоря	2	3
115	того чтобы	2	3
116	и притом	3	3
117	не в	7	3
118	и для	2	3
119	далеко не	2	3
120	здесь не	2	3
121	в чем	2	3
122	отличие от	7	3
123	ни к	2	2
124	в сторону	2	2
125	в нашем	2	2
126	в этих	3	2
127	в какой	2	2
128	для понимания	2	2
129	же время	5	2
130	той или	4	2
131	чем это	2	2
132	так или	3	2
133	не является	4	2
134	в целом	3	2
135	что она	2	2
136	могло быть	2	2
137	в их	5	2
138	который в	2	2
139	другой стороны	5	2
140	в одно	2	2
141	и по	2	2
142	к его	2	2
143	но как	2	2
144	по своей	7	2
145	его в	2	2
146	не вполне	2	2
147	с его	6	2
148	и более	2	2
149	не как	2	2
150	в жизни	2	2
151	и к	3	2
152	при условии	2	2
153	это тоже	2	2
154	что каждый	2	2
155	того же	2	2
156	одно и	3	2
157	одной из	2	2
158	по преимуществу	2	2
159	на почве	3	2
160	со стороны	2	2
161	как говорит	3	2
162	в мире	21	2
163	быть и	2	2
164	из этого	2	2
165	не на	3	2
166	тем самым	4	2
167	для того	2	2
168	или иначе	4	2
169	всей своей	2	2
170	в другом	3	2
171	в которой	2	2
