N	2gram	Medvedev_S_1	Problemy
1	и в	3	29
2	в его	3	24
3	может быть	2	24
4	в этом	5	22
5	как бы	2	19
6	не только	3	15
7	то что	2	15
8	но и	2	14
9	то же	2	14
10	таким образом	2	12
11	только в	2	10
12	что в	2	8
13	отношению к	2	8
14	по отношению	2	8
15	в том	5	8
16	том что	2	7
17	не в	3	7
18	за пределы	2	7
19	все это	7	6
20	в конце	2	6
21	должна быть	2	5
22	было бы	2	5
23	еще не	2	5
24	это и	2	5
25	конце концов	2	5
26	в результате	2	4
27	как же	3	4
28	по существу	2	3
29	как будто	2	3
30	далеко не	2	3
31	ведь это	2	2
32	только как	2	2
33	в смысле	2	2
34	и что	2	2
35	или даже	2	2
