N	2gram	Tiupa_Vved_1	FransuaR
1	и в	13	56
2	то есть	8	24
3	в романе	6	21
4	в его	4	18
5	таким образом	4	17
6	в этом	21	14
7	в том	10	13
8	так и	8	13
9	и его	5	12
10	в то	4	12
11	в этих	3	11
12	до конца	3	11
13	как бы	4	11
14	и т.п	9	11
15	в них	2	11
16	то же	5	11
17	же время	3	10
18	еще не	7	10
19	только в	6	9
20	в самом	2	9
21	но и	19	9
22	и не	12	9
23	том что	7	8
24	по своему	2	8
25	не только	20	8
26	в нем	5	8
27	во всех	2	8
28	и с	2	8
29	в частности	13	7
30	как мы	3	7
31	и на	3	7
32	все они	2	6
33	прежде всего	7	6
34	мертвых душ	4	6
35	в той	4	6
36	потому что	5	6
37	границы между	2	6
38	и все	4	6
39	но в	6	6
40	но не	5	5
41	никогда не	4	5
42	в пределах	2	5
43	как и	11	5
44	одним из	5	5
45	он не	3	5
46	один из	3	5
47	мы видели	2	5
48	своего рода	10	5
49	что в	3	5
50	не было	2	5
51	в результате	3	5
52	так сказать	2	5
53	в области	3	5
54	времени и	7	4
55	и более	3	4
56	в себе	5	4
57	в качестве	8	4
58	например в	2	4
59	и к	2	4
60	в ней	4	4
61	начала и	2	4
62	с одной	5	4
63	при этом	26	4
64	в основе	3	4
65	в своих	2	4
66	их в	2	4
67	о том	5	4
68	по своей	3	4
69	одна из	4	4
70	в едином	3	3
71	перед нами	6	3
72	в своем	5	3
73	сливаются в	2	3
74	национального языка	2	3
75	в литературе	2	3
76	может быть	18	3
77	а также	8	3
78	что и	2	3
79	то что	6	3
80	уже не	5	3
81	и наконец	2	3
82	времени в	3	3
83	не в	6	3
84	к его	3	3
85	и т.д	5	3
86	бы в	3	3
87	к которому	2	3
88	если бы	7	2
89	в нашем	6	2
90	о них	3	2
91	в речи	2	2
92	с другой	5	2
93	это не	6	2
94	не как	2	2
95	на самом	4	2
96	к этому	2	2
97	бы и	4	2
98	можно сказать	4	2
99	точек зрения	2	2
100	но это	3	2
101	а на	2	2
102	для него	3	2
103	когда в	2	2
104	одной стороны	5	2
105	было бы	4	2
106	не имели	2	2
107	картина мира	12	2
108	картины мира	5	2
109	а в	6	2
110	в центре	2	2
111	к ним	2	2
112	хотя и	7	2
113	что на	2	2
114	в котором	8	2
115	точка зрения	3	2
116	все же	6	2
117	действующих лиц	2	2
118	в своей	5	2
119	в мире	8	2
120	это мир	2	2
121	самом деле	3	2
122	данном случае	6	2
123	или менее	2	2
124	другой стороны	2	2
125	целый ряд	2	2
126	как раз	2	2
127	не может	7	2
128	нового времени	3	2
129	а не	15	2
130	и для	3	2
131	в слове	3	2
132	мы не	4	2
133	в данном	13	2
134	также и	4	2
135	чтобы стать	2	2
136	он и	2	2
137	той или	3	2
138	начиная с	3	2
139	далеко не	4	2
140	мира и	2	2
141	с ним	3	2
142	более или	2	2
