N	2gram	Nazirov_Tr_1	Morfolog
1	может быть	7	52
2	не может	5	17
3	и в	18	13
4	в этом	9	13
5	перед нами	2	11
6	прежде всего	4	9
7	так и	5	9
8	то же	5	9
9	и не	7	9
10	что и	2	8
11	вопрос о	2	7
12	все же	5	7
13	это не	5	6
14	не могут	2	6
15	и здесь	2	6
16	в том	2	6
17	в образе	6	5
18	в поле	3	5
19	в ходе	2	5
20	как бы	7	5
21	один из	3	5
22	то что	4	5
23	потому что	2	5
24	что в	4	4
25	и как	3	4
26	об этом	4	4
27	несмотря на	5	4
28	не только	8	4
29	как в	3	4
30	так же	4	4
31	как и	5	4
32	тем что	2	4
33	его в	2	4
34	ничего не	2	4
35	это уже	2	3
36	том что	4	3
37	но все	2	3
38	но это	4	3
39	в целом	4	3
40	он не	2	3
41	раз он	2	3
42	в первом	2	3
43	ни в	2	3
44	но и	4	3
45	с иваном	2	3
46	к нему	3	3
47	друг друга	2	3
48	и ее	2	3
49	в то	5	3
50	но в	6	3
51	с тем	2	2
52	в виде	2	2
53	в частности	2	2
54	и за	2	2
55	точно так	2	2
56	что он	6	2
57	для него	3	2
58	никто не	3	2
59	во сне	2	2
60	все эти	3	2
61	и что	4	2
62	уже не	2	2
63	не имеет	2	2
64	и его	6	2
65	о том	2	2
66	что эти	2	2
67	одна из	2	2
68	как это	3	2
