N	2gram	Vygotskiy__3	DiskursI
1	в себе	4	19
2	при этом	4	17
3	состоит в	3	16
4	в качестве	2	16
5	и в	38	16
6	может быть	19	16
7	как и	8	16
8	в этом	13	16
9	и не	10	15
10	а не	7	14
11	то есть	15	12
12	представляет собой	2	11
13	но и	5	11
14	но в	3	11
15	том что	14	10
16	не только	12	10
17	со стороны	2	10
18	не может	7	9
19	в том	25	8
20	как в	4	8
21	в нем	4	7
22	ни в	3	7
23	в данном	2	7
24	отнюдь не	2	6
25	все же	8	6
26	в своей	5	6
27	данном случае	2	6
28	то же	10	6
29	в своих	4	6
30	а с	2	5
31	что в	20	5
32	в своем	5	5
33	с другой	7	5
34	для него	2	5
35	то что	35	5
36	и на	6	5
37	в то	3	5
38	в одном	8	4
39	одного из	2	4
40	к этому	3	4
41	к его	2	4
42	одной стороны	5	4
43	как бы	14	4
44	с одной	6	4
45	потому что	14	4
46	в основе	3	4
47	можно назвать	2	4
48	одно из	2	4
49	точки зрения	16	4
50	в этой	13	4
51	и то	8	4
52	о том	6	4
53	перед нами	8	3
54	и может	2	3
55	в этих	2	3
56	в них	3	3
57	столь же	2	3
58	из этих	3	3
59	и все	10	3
60	уже не	2	3
61	и как	8	3
62	не в	12	3
63	здесь в	2	3
64	например в	2	3
65	он не	6	3
66	в его	5	3
67	в русской	2	3
68	из двух	3	3
69	в котором	6	3
70	из них	6	3
71	и ее	2	3
72	иначе говоря	5	3
73	все эти	4	3
74	и наконец	2	3
75	как на	3	3
76	и его	6	3
77	но это	3	3
78	в басне	37	3
79	в другом	5	3
80	как будто	4	3
81	только в	4	3
82	его в	3	3
83	место в	3	2
84	как все	2	2
85	никогда не	4	2
86	и одновременно	2	2
87	в целом	4	2
88	к своим	2	2
89	идет о	4	2
90	указать на	3	2
91	в той	5	2
92	что он	11	2
93	который не	4	2
94	всякий раз	3	2
95	такой же	2	2
96	есть в	2	2
97	того же	3	2
98	должна быть	5	2
99	одно и	3	2
100	содержание рассказа	2	2
101	уже как	2	2
102	в ней	15	2
103	далеко не	3	2
104	что и	4	2
105	с ее	2	2
106	с точки	9	2
107	с той	4	2
108	наше время	2	2
109	не к	3	2
110	время в	5	2
111	вместе с	5	2
112	что же	2	2
113	в полном	2	2
114	по преимуществу	2	2
115	к своему	2	2
116	все это	3	2
117	не более	2	2
118	другой стороны	5	2
119	и для	4	2
120	а в	7	2
121	той же	2	2
122	что как	3	2
123	в наше	2	2
124	совпадает с	2	2
125	их в	2	2
126	рассказ в	3	2
127	и это	8	2
128	на примере	2	2
129	здесь не	3	2
130	между тем	7	2
